Données 2021;Personnes scolarisées;% de la population scolarisée;Moyenne des villes;code_insee;Ville;type
De Bac +2 à Bac +4;2 649;14,8 %;19,8 %;02408;laon;Non scolarisés
Bac +5 et plus;1 143;6,4 %;6,5 %;02408;laon;Non scolarisés
2 - 5 ans;1 797;15,0 %;15,6 %;02691;saint-quentin;Scolarisés
6 - 10 ans;3 077;25,7 %;29,2 %;02691;saint-quentin;Scolarisés
11 - 14 ans;2 540;21,2 %;24,9 %;02691;saint-quentin;Scolarisés
15 - 17 ans;1 926;16,1 %;18,4 %;02691;saint-quentin;Scolarisés
18 - 24 ans;2 173;18,1 %;9,1 %;02691;saint-quentin;Scolarisés
25 - 29 ans;195;1,6 %;0,7 %;02691;saint-quentin;Scolarisés
30 ans et plus;288;2,4 %;2,2 %;02691;saint-quentin;Scolarisés
Aucun diplôme;12 172;31,1 %;20,2 %;02691;saint-quentin;Non scolarisés
Brevet des collèges;2 431;6,2 %;5,5 %;02691;saint-quentin;Non scolarisés
CAP / BEP;9 836;25,2 %;29,3 %;02691;saint-quentin;Non scolarisés
Baccalauréat / brevet professionnel;5 874;15,0 %;18,8 %;02691;saint-quentin;Non scolarisés
De Bac +2 à Bac +4;6 244;16,0 %;19,8 %;02691;saint-quentin;Non scolarisés
Bac +5 et plus;2 523;6,5 %;6,5 %;02691;saint-quentin;Non scolarisés
2 - 5 ans;1 036;15,7 %;15,6 %;02722;soissons;Scolarisés
6 - 10 ans;1 801;27,3 %;29,2 %;02722;soissons;Scolarisés
11 - 14 ans;1 497;22,7 %;24,9 %;02722;soissons;Scolarisés
15 - 17 ans;954;14,5 %;18,4 %;02722;soissons;Scolarisés
18 - 24 ans;1 016;15,4 %;9,1 %;02722;soissons;Scolarisés
25 - 29 ans;64;1,0 %;0,7 %;02722;soissons;Scolarisés
30 ans et plus;218;3,3 %;2,2 %;02722;soissons;Scolarisés
Aucun diplôme;6 793;32,2 %;20,2 %;02722;soissons;Non scolarisés
Brevet des collèges;1 087;5,2 %;5,5 %;02722;soissons;Non scolarisés
CAP / BEP;5 066;24,0 %;29,3 %;02722;soissons;Non scolarisés
Baccalauréat / brevet professionnel;3 248;15,4 %;18,8 %;02722;soissons;Non scolarisés
De Bac +2 à Bac +4;3 500;16,6 %;19,8 %;02722;soissons;Non scolarisés
Bac +5 et plus;1 393;6,6 %;6,5 %;02722;soissons;Non scolarisés
2 - 5 ans;841;11,4 %;15,6 %;03185;montlucon;Scolarisés
6 - 10 ans;1 518;20,7 %;29,2 %;03185;montlucon;Scolarisés
11 - 14 ans;1 212;16,5 %;24,9 %;03185;montlucon;Scolarisés
15 - 17 ans;1 017;13,8 %;18,4 %;03185;montlucon;Scolarisés
18 - 24 ans;2 179;29,6 %;9,1 %;03185;montlucon;Scolarisés
25 - 29 ans;338;4,6 %;0,7 %;03185;montlucon;Scolarisés
30 ans et plus;246;3,3 %;2,2 %;03185;montlucon;Scolarisés
Aucun diplôme;6 124;24,5 %;20,2 %;03185;montlucon;Non scolarisés
Brevet des collèges;1 696;6,8 %;5,5 %;03185;montlucon;Non scolarisés
CAP / BEP;7 516;30,1 %;29,3 %;03185;montlucon;Non scolarisés
Baccalauréat / brevet professionnel;4 278;17,1 %;18,8 %;03185;montlucon;Non scolarisés
De Bac +2 à Bac +4;3 933;15,7 %;19,8 %;03185;montlucon;Non scolarisés
Bac +5 et plus;1 445;5,8 %;6,5 %;03185;montlucon;Non scolarisés
2 - 5 ans;579;12,9 %;15,6 %;03310;vichy;Scolarisés
6 - 10 ans;928;20,6 %;29,2 %;03310;vichy;Scolarisés
11 - 14 ans;707;15,7 %;24,9 %;03310;vichy;Scolarisés
15 - 17 ans;605;13,4 %;18,4 %;03310;vichy;Scolarisés
18 - 24 ans;1 447;32,2 %;9,1 %;03310;vichy;Scolarisés
25 - 29 ans;79;1,8 %;0,7 %;03310;vichy;Scolarisés
30 ans et plus;155;3,4 %;2,2 %;03310;vichy;Scolarisés
Aucun diplôme;4 989;24,1 %;20,2 %;03310;vichy;Non scolarisés
Brevet des collèges;1 670;8,1 %;5,5 %;03310;vichy;Non scolarisés
CAP / BEP;4 325;20,9 %;29,3 %;03310;vichy;Non scolarisés
Baccalauréat / brevet professionnel;3 805;18,4 %;18,8 %;03310;vichy;Non scolarisés
De Bac +2 à Bac +4;4 100;19,8 %;19,8 %;03310;vichy;Non scolarisés
Bac +5 et plus;1 817;8,8 %;6,5 %;03310;vichy;Non scolarisés
2 - 5 ans;809;16,8 %;15,6 %;04112;manosque;Scolarisés
6 - 10 ans;1 293;26,8 %;29,2 %;04112;manosque;Scolarisés
11 - 14 ans;1 070;22,2 %;24,9 %;04112;manosque;Scolarisés
15 - 17 ans;822;17,0 %;18,4 %;04112;manosque;Scolarisés
18 - 24 ans;569;11,8 %;9,1 %;04112;manosque;Scolarisés
25 - 29 ans;67;1,4 %;0,7 %;04112;manosque;Scolarisés
30 ans et plus;194;4,0 %;2,2 %;04112;manosque;Scolarisés
Aucun diplôme;3 542;20,5 %;20,2 %;04112;manosque;Non scolarisés
Brevet des collèges;851;4,9 %;5,5 %;04112;manosque;Non scolarisés
CAP / BEP;4 189;24,2 %;29,3 %;04112;manosque;Non scolarisés
Baccalauréat / brevet professionnel;2 967;17,1 %;18,8 %;04112;manosque;Non scolarisés
De Bac +2 à Bac +4;3 629;21,0 %;19,8 %;04112;manosque;Non scolarisés
Bac +5 et plus;2 123;12,3 %;6,5 %;04112;manosque;Non scolarisés
2 - 5 ans;1 134;14,2 %;15,6 %;05061;gap;Scolarisés
6 - 10 ans;2 034;25,5 %;29,2 %;05061;gap;Scolarisés
11 - 14 ans;1 722;21,6 %;24,9 %;05061;gap;Scolarisés
15 - 17 ans;1 444;18,1 %;18,4 %;05061;gap;Scolarisés
18 - 24 ans;1 122;14,1 %;9,1 %;05061;gap;Scolarisés
25 - 29 ans;144;1,8 %;0,7 %;05061;gap;Scolarisés
30 ans et plus;368;4,6 %;2,2 %;05061;gap;Scolarisés
Aucun diplôme;5 337;17,0 %;20,2 %;05061;gap;Non scolarisés
Brevet des collèges;2 035;6,5 %;5,5 %;05061;gap;Non scolarisés
CAP / BEP;7 575;24,2 %;29,3 %;05061;gap;Non scolarisés
Baccalauréat / brevet professionnel;6 032;19,2 %;18,8 %;05061;gap;Non scolarisés
De Bac +2 à Bac +4;7 508;24,0 %;19,8 %;05061;gap;Non scolarisés
Bac +5 et plus;2 852;9,1 %;6,5 %;05061;gap;Non scolarisés
2 - 5 ans;2 040;15,2 %;15,6 %;06004;antibes;Scolarisés
6 - 10 ans;3 389;25,3 %;29,2 %;06004;antibes;Scolarisés
11 - 14 ans;2 691;20,1 %;24,9 %;06004;antibes;Scolarisés
15 - 17 ans;1 921;14,3 %;18,4 %;06004;antibes;Scolarisés
18 - 24 ans;2 423;18,1 %;9,1 %;06004;antibes;Scolarisés
25 - 29 ans;424;3,2 %;0,7 %;06004;antibes;Scolarisés
30 ans et plus;533;4,0 %;2,2 %;06004;antibes;Scolarisés
Aucun diplôme;10 772;18,1 %;20,2 %;06004;antibes;Non scolarisés
Brevet des collèges;3 812;6,4 %;5,5 %;06004;antibes;Non scolarisés
CAP / BEP;11 175;18,8 %;29,3 %;06004;antibes;Non scolarisés
Baccalauréat / brevet professionnel;10 343;17,4 %;18,8 %;06004;antibes;Non scolarisés
De Bac +2 à Bac +4;13 025;21,9 %;19,8 %;06004;antibes;Non scolarisés
Bac +5 et plus;10 227;17,2 %;6,5 %;06004;antibes;Non scolarisés
2 - 5 ans;1 484;15,4 %;15,6 %;06027;cagnes-sur-mer;Scolarisés
6 - 10 ans;2 514;26,1 %;29,2 %;06027;cagnes-sur-mer;Scolarisés
11 - 14 ans;2 071;21,5 %;24,9 %;06027;cagnes-sur-mer;Scolarisés
15 - 17 ans;1 422;14,7 %;18,4 %;06027;cagnes-sur-mer;Scolarisés
18 - 24 ans;1 631;16,9 %;9,1 %;06027;cagnes-sur-mer;Scolarisés
25 - 29 ans;151;1,6 %;0,7 %;06027;cagnes-sur-mer;Scolarisés
30 ans et plus;369;3,8 %;2,2 %;06027;cagnes-sur-mer;Scolarisés
Aucun diplôme;8 318;20,2 %;20,2 %;06027;cagnes-sur-mer;Non scolarisés
Brevet des collèges;2 742;6,7 %;5,5 %;06027;cagnes-sur-mer;Non scolarisés
CAP / BEP;8 951;21,7 %;29,3 %;06027;cagnes-sur-mer;Non scolarisés
Baccalauréat / brevet professionnel;7 488;18,2 %;18,8 %;06027;cagnes-sur-mer;Non scolarisés
De Bac +2 à Bac +4;8 879;21,5 %;19,8 %;06027;cagnes-sur-mer;Non scolarisés
Bac +5 et plus;4 838;11,7 %;6,5 %;06027;cagnes-sur-mer;Non scolarisés
2 - 5 ans;1 812;13,7 %;15,6 %;06029;cannes;Scolarisés
6 - 10 ans;3 376;25,6 %;29,2 %;06029;cannes;Scolarisés
11 - 14 ans;2 916;22,1 %;24,9 %;06029;cannes;Scolarisés
15 - 17 ans;2 144;16,2 %;18,4 %;06029;cannes;Scolarisés
18 - 24 ans;2 266;17,2 %;9,1 %;06029;cannes;Scolarisés
25 - 29 ans;196;1,5 %;0,7 %;06029;cannes;Scolarisés
30 ans et plus;485;3,7 %;2,2 %;06029;cannes;Scolarisés
Aucun diplôme;13 173;22,7 %;20,2 %;06029;cannes;Non scolarisés
Brevet des collèges;4 225;7,3 %;5,5 %;06029;cannes;Non scolarisés
CAP / BEP;11 696;20,1 %;29,3 %;06029;cannes;Non scolarisés
Baccalauréat / brevet professionnel;11 481;19,8 %;18,8 %;06029;cannes;Non scolarisés
De Bac +2 à Bac +4;11 134;19,2 %;19,8 %;06029;cannes;Non scolarisés
Bac +5 et plus;6 341;10,9 %;6,5 %;06029;cannes;Non scolarisés
2 - 5 ans;1 142;15,3 %;15,6 %;06030;le-cannet;Scolarisés
6 - 10 ans;1 928;25,8 %;29,2 %;06030;le-cannet;Scolarisés
11 - 14 ans;1 671;22,4 %;24,9 %;06030;le-cannet;Scolarisés
15 - 17 ans;1 246;16,7 %;18,4 %;06030;le-cannet;Scolarisés
18 - 24 ans;1 120;15,0 %;9,1 %;06030;le-cannet;Scolarisés
25 - 29 ans;112;1,5 %;0,7 %;06030;le-cannet;Scolarisés
30 ans et plus;246;3,3 %;2,2 %;06030;le-cannet;Scolarisés
Aucun diplôme;6 597;20,1 %;20,2 %;06030;le-cannet;Non scolarisés
Brevet des collèges;2 290;7,0 %;5,5 %;06030;le-cannet;Non scolarisés
CAP / BEP;7 891;24,0 %;29,3 %;06030;le-cannet;Non scolarisés
Baccalauréat / brevet professionnel;6 585;20,0 %;18,8 %;06030;le-cannet;Non scolarisés
De Bac +2 à Bac +4;6 404;19,5 %;19,8 %;06030;le-cannet;Non scolarisés
Bac +5 et plus;3 107;9,5 %;6,5 %;06030;le-cannet;Non scolarisés
2 - 5 ans;1 553;15,3 %;15,6 %;06069;grasse;Scolarisés
6 - 10 ans;2 860;28,3 %;29,2 %;06069;grasse;Scolarisés
11 - 14 ans;2 240;22,1 %;24,9 %;06069;grasse;Scolarisés
15 - 17 ans;1 818;18,0 %;18,4 %;06069;grasse;Scolarisés
18 - 24 ans;1 228;12,1 %;9,1 %;06069;grasse;Scolarisés
25 - 29 ans;130;1,3 %;0,7 %;06069;grasse;Scolarisés
30 ans et plus;293;2,9 %;2,2 %;06069;grasse;Scolarisés
Aucun diplôme;7 876;21,7 %;20,2 %;06069;grasse;Non scolarisés
Brevet des collèges;2 117;5,8 %;5,5 %;06069;grasse;Non scolarisés
CAP / BEP;8 342;22,9 %;29,3 %;06069;grasse;Non scolarisés
Baccalauréat / brevet professionnel;6 609;18,2 %;18,8 %;06069;grasse;Non scolarisés
De Bac +2 à Bac +4;7 515;20,7 %;19,8 %;06069;grasse;Non scolarisés
Bac +5 et plus;3 891;10,7 %;6,5 %;06069;grasse;Non scolarisés
2 - 5 ans;577;16,9 %;15,6 %;06079;mandelieu-la-napoule;Scolarisés
6 - 10 ans;939;27,5 %;29,2 %;06079;mandelieu-la-napoule;Scolarisés
11 - 14 ans;780;22,8 %;24,9 %;06079;mandelieu-la-napoule;Scolarisés
15 - 17 ans;544;15,9 %;18,4 %;06079;mandelieu-la-napoule;Scolarisés
18 - 24 ans;399;11,7 %;9,1 %;06079;mandelieu-la-napoule;Scolarisés
25 - 29 ans;39;1,1 %;0,7 %;06079;mandelieu-la-napoule;Scolarisés
30 ans et plus;142;4,2 %;2,2 %;06079;mandelieu-la-napoule;Scolarisés
Aucun diplôme;3 221;18,4 %;20,2 %;06079;mandelieu-la-napoule;Non scolarisés
Brevet des collèges;1 317;7,5 %;5,5 %;06079;mandelieu-la-napoule;Non scolarisés
CAP / BEP;4 273;24,4 %;29,3 %;06079;mandelieu-la-napoule;Non scolarisés
Baccalauréat / brevet professionnel;3 446;19,6 %;18,8 %;06079;mandelieu-la-napoule;Non scolarisés
De Bac +2 à Bac +4;3 463;19,7 %;19,8 %;06079;mandelieu-la-napoule;Non scolarisés
Bac +5 et plus;1 819;10,4 %;6,5 %;06079;mandelieu-la-napoule;Non scolarisés
2 - 5 ans;888;15,4 %;15,6 %;06083;menton;Scolarisés
6 - 10 ans;1 634;28,3 %;29,2 %;06083;menton;Scolarisés
11 - 14 ans;1 251;21,7 %;24,9 %;06083;menton;Scolarisés
15 - 17 ans;894;15,5 %;18,4 %;06083;menton;Scolarisés
18 - 24 ans;877;15,2 %;9,1 %;06083;menton;Scolarisés
25 - 29 ans;46;0,8 %;0,7 %;06083;menton;Scolarisés
30 ans et plus;176;3,1 %;2,2 %;06083;menton;Scolarisés
Aucun diplôme;5 175;21,8 %;20,2 %;06083;menton;Non scolarisés
Brevet des collèges;1 662;7,0 %;5,5 %;06083;menton;Non scolarisés
CAP / BEP;5 897;24,9 %;29,3 %;06083;menton;Non scolarisés
Baccalauréat / brevet professionnel;4 764;20,1 %;18,8 %;06083;menton;Non scolarisés
De Bac +2 à Bac +4;4 513;19,0 %;19,8 %;06083;menton;Non scolarisés
Bac +5 et plus;1 697;7,2 %;6,5 %;06083;menton;Non scolarisés
2 - 5 ans;10 476;13,0 %;15,6 %;06088;nice;Scolarisés
6 - 10 ans;17 565;21,9 %;29,2 %;06088;nice;Scolarisés
11 - 14 ans;14 219;17,7 %;24,9 %;06088;nice;Scolarisés
15 - 17 ans;10 463;13,0 %;18,4 %;06088;nice;Scolarisés
18 - 24 ans;20 750;25,8 %;9,1 %;06088;nice;Scolarisés
25 - 29 ans;3 307;4,1 %;0,7 %;06088;nice;Scolarisés
30 ans et plus;3 507;4,4 %;2,2 %;06088;nice;Scolarisés
Aucun diplôme;51 483;20,1 %;20,2 %;06088;nice;Non scolarisés
Brevet des collèges;17 856;7,0 %;5,5 %;06088;nice;Non scolarisés
CAP / BEP;47 111;18,4 %;29,3 %;06088;nice;Non scolarisés
Baccalauréat / brevet professionnel;44 609;17,4 %;18,8 %;06088;nice;Non scolarisés
De Bac +2 à Bac +4;56 117;21,9 %;19,8 %;06088;nice;Non scolarisés
Bac +5 et plus;38 976;15,2 %;6,5 %;06088;nice;Non scolarisés
2 - 5 ans;898;15,3 %;15,6 %;06123;saint-laurent-du-var;Scolarisés
6 - 10 ans;1 526;26,0 %;29,2 %;06123;saint-laurent-du-var;Scolarisés
11 - 14 ans;1 285;21,9 %;24,9 %;06123;saint-laurent-du-var;Scolarisés
15 - 17 ans;916;15,6 %;18,4 %;06123;saint-laurent-du-var;Scolarisés
18 - 24 ans;945;16,1 %;9,1 %;06123;saint-laurent-du-var;Scolarisés
25 - 29 ans;100;1,7 %;0,7 %;06123;saint-laurent-du-var;Scolarisés
30 ans et plus;198;3,4 %;2,2 %;06123;saint-laurent-du-var;Scolarisés
Aucun diplôme;4 155;17,3 %;20,2 %;06123;saint-laurent-du-var;Non scolarisés
Brevet des collèges;1 521;6,3 %;5,5 %;06123;saint-laurent-du-var;Non scolarisés
CAP / BEP;5 402;22,5 %;29,3 %;06123;saint-laurent-du-var;Non scolarisés
Baccalauréat / brevet professionnel;4 864;20,2 %;18,8 %;06123;saint-laurent-du-var;Non scolarisés
De Bac +2 à Bac +4;5 569;23,2 %;19,8 %;06123;saint-laurent-du-var;Non scolarisés
Bac +5 et plus;2 518;10,5 %;6,5 %;06123;saint-laurent-du-var;Non scolarisés
2 - 5 ans;766;15,8 %;15,6 %;06155;vallauris;Scolarisés
6 - 10 ans;1 442;29,7 %;29,2 %;06155;vallauris;Scolarisés
11 - 14 ans;1 024;21,1 %;24,9 %;06155;vallauris;Scolarisés
15 - 17 ans;707;14,6 %;18,4 %;06155;vallauris;Scolarisés
18 - 24 ans;704;14,5 %;9,1 %;06155;vallauris;Scolarisés
25 - 29 ans;68;1,4 %;0,7 %;06155;vallauris;Scolarisés
30 ans et plus;144;3,0 %;2,2 %;06155;vallauris;Scolarisés
Aucun diplôme;5 230;23,6 %;20,2 %;06155;vallauris;Non scolarisés
Brevet des collèges;1 922;8,7 %;5,5 %;06155;vallauris;Non scolarisés
CAP / BEP;5 581;25,2 %;29,3 %;06155;vallauris;Non scolarisés
Baccalauréat / brevet professionnel;4 081;18,4 %;18,8 %;06155;vallauris;Non scolarisés
De Bac +2 à Bac +4;3 403;15,4 %;19,8 %;06155;vallauris;Non scolarisés
Bac +5 et plus;1 936;8,7 %;6,5 %;06155;vallauris;Non scolarisés
2 - 5 ans;1 547;16,1 %;15,6 %;08105;charleville-mezieres;Scolarisés
6 - 10 ans;2 466;25,6 %;29,2 %;08105;charleville-mezieres;Scolarisés
11 - 14 ans;2 161;22,5 %;24,9 %;08105;charleville-mezieres;Scolarisés
15 - 17 ans;1 660;17,3 %;18,4 %;08105;charleville-mezieres;Scolarisés
18 - 24 ans;1 459;15,2 %;9,1 %;08105;charleville-mezieres;Scolarisés
25 - 29 ans;104;1,1 %;0,7 %;08105;charleville-mezieres;Scolarisés
30 ans et plus;225;2,3 %;2,2 %;08105;charleville-mezieres;Scolarisés
Aucun diplôme;9 910;28,1 %;20,2 %;08105;charleville-mezieres;Non scolarisés
Brevet des collèges;2 353;6,7 %;5,5 %;08105;charleville-mezieres;Non scolarisés
CAP / BEP;9 001;25,6 %;29,3 %;08105;charleville-mezieres;Non scolarisés
Baccalauréat / brevet professionnel;5 389;15,3 %;18,8 %;08105;charleville-mezieres;Non scolarisés
De Bac +2 à Bac +4;6 154;17,5 %;19,8 %;08105;charleville-mezieres;Non scolarisés
Bac +5 et plus;2 413;6,9 %;6,5 %;08105;charleville-mezieres;Non scolarisés
2 - 5 ans;2 243;13,7 %;15,6 %;10387;troyes;Scolarisés
6 - 10 ans;3 584;21,9 %;29,2 %;10387;troyes;Scolarisés
11 - 14 ans;2 867;17,5 %;24,9 %;10387;troyes;Scolarisés
15 - 17 ans;2 107;12,9 %;18,4 %;10387;troyes;Scolarisés
18 - 24 ans;4 848;29,6 %;9,1 %;10387;troyes;Scolarisés
25 - 29 ans;362;2,2 %;0,7 %;10387;troyes;Scolarisés
30 ans et plus;383;2,3 %;2,2 %;10387;troyes;Scolarisés
Aucun diplôme;11 965;27,2 %;20,2 %;10387;troyes;Non scolarisés
Brevet des collèges;2 552;5,8 %;5,5 %;10387;troyes;Non scolarisés
CAP / BEP;9 764;22,2 %;29,3 %;10387;troyes;Non scolarisés
Baccalauréat / brevet professionnel;7 165;16,3 %;18,8 %;10387;troyes;Non scolarisés
De Bac +2 à Bac +4;8 223;18,7 %;19,8 %;10387;troyes;Non scolarisés
Bac +5 et plus;4 290;9,8 %;6,5 %;10387;troyes;Non scolarisés
2 - 5 ans;1 323;15,0 %;15,6 %;11069;carcassonne;Scolarisés
6 - 10 ans;2 353;26,6 %;29,2 %;11069;carcassonne;Scolarisés
11 - 14 ans;1 879;21,2 %;24,9 %;11069;carcassonne;Scolarisés
15 - 17 ans;1 439;16,3 %;18,4 %;11069;carcassonne;Scolarisés
18 - 24 ans;1 427;16,1 %;9,1 %;11069;carcassonne;Scolarisés
25 - 29 ans;149;1,7 %;0,7 %;11069;carcassonne;Scolarisés
30 ans et plus;276;3,1 %;2,2 %;11069;carcassonne;Scolarisés
Aucun diplôme;8 012;22,3 %;20,2 %;11069;carcassonne;Non scolarisés
Brevet des collèges;2 330;6,5 %;5,5 %;11069;carcassonne;Non scolarisés
CAP / BEP;8 474;23,5 %;29,3 %;11069;carcassonne;Non scolarisés
Baccalauréat / brevet professionnel;7 221;20,1 %;18,8 %;11069;carcassonne;Non scolarisés
De Bac +2 à Bac +4;7 153;19,9 %;19,8 %;11069;carcassonne;Non scolarisés
Bac +5 et plus;2 805;7,8 %;6,5 %;11069;carcassonne;Non scolarisés
2 - 5 ans;1 520;13,7 %;15,6 %;11262;narbonne;Scolarisés
6 - 10 ans;2 964;26,7 %;29,2 %;11262;narbonne;Scolarisés
11 - 14 ans;2 367;21,3 %;24,9 %;11262;narbonne;Scolarisés
15 - 17 ans;1 775;16,0 %;18,4 %;11262;narbonne;Scolarisés
18 - 24 ans;1 939;17,4 %;9,1 %;11262;narbonne;Scolarisés
25 - 29 ans;219;2,0 %;0,7 %;11262;narbonne;Scolarisés
30 ans et plus;329;3,0 %;2,2 %;11262;narbonne;Scolarisés
Aucun diplôme;9 449;21,7 %;20,2 %;11262;narbonne;Non scolarisés
Brevet des collèges;3 030;7,0 %;5,5 %;11262;narbonne;Non scolarisés
CAP / BEP;10 383;23,9 %;29,3 %;11262;narbonne;Non scolarisés
Baccalauréat / brevet professionnel;8 333;19,2 %;18,8 %;11262;narbonne;Non scolarisés
De Bac +2 à Bac +4;8 669;19,9 %;19,8 %;11262;narbonne;Non scolarisés
Bac +5 et plus;3 604;8,3 %;6,5 %;11262;narbonne;Non scolarisés
2 - 5 ans;646;15,3 %;15,6 %;12145;millau;Scolarisés
6 - 10 ans;1 120;26,5 %;29,2 %;12145;millau;Scolarisés
11 - 14 ans;979;23,1 %;24,9 %;12145;millau;Scolarisés
15 - 17 ans;694;16,4 %;18,4 %;12145;millau;Scolarisés
18 - 24 ans;562;13,3 %;9,1 %;12145;millau;Scolarisés
25 - 29 ans;57;1,3 %;0,7 %;12145;millau;Scolarisés
30 ans et plus;176;4,2 %;2,2 %;12145;millau;Scolarisés
Aucun diplôme;3 155;18,6 %;20,2 %;12145;millau;Non scolarisés
Brevet des collèges;1 078;6,4 %;5,5 %;12145;millau;Non scolarisés
CAP / BEP;4 324;25,5 %;29,3 %;12145;millau;Non scolarisés
Baccalauréat / brevet professionnel;3 354;19,8 %;18,8 %;12145;millau;Non scolarisés
De Bac +2 à Bac +4;3 772;22,3 %;19,8 %;12145;millau;Non scolarisés
Bac +5 et plus;1 264;7,5 %;6,5 %;12145;millau;Non scolarisés
2 - 5 ans;527;9,4 %;15,6 %;12202;rodez;Scolarisés
6 - 10 ans;922;16,4 %;29,2 %;12202;rodez;Scolarisés
11 - 14 ans;952;17,0 %;24,9 %;12202;rodez;Scolarisés
15 - 17 ans;742;13,2 %;18,4 %;12202;rodez;Scolarisés
18 - 24 ans;2 156;38,5 %;9,1 %;12202;rodez;Scolarisés
25 - 29 ans;99;1,8 %;0,7 %;12202;rodez;Scolarisés
30 ans et plus;207;3,7 %;2,2 %;12202;rodez;Scolarisés
Aucun diplôme;2 724;15,1 %;20,2 %;12202;rodez;Non scolarisés
Brevet des collèges;1 252;6,9 %;5,5 %;12202;rodez;Non scolarisés
CAP / BEP;3 767;20,8 %;29,3 %;12202;rodez;Non scolarisés
Baccalauréat / brevet professionnel;3 361;18,6 %;18,8 %;12202;rodez;Non scolarisés
De Bac +2 à Bac +4;4 887;27,0 %;19,8 %;12202;rodez;Non scolarisés
Bac +5 et plus;2 081;11,5 %;6,5 %;12202;rodez;Non scolarisés
2 - 5 ans;3 658;9,0 %;15,6 %;13001;aix-en-provence;Scolarisés
6 - 10 ans;6 258;15,5 %;29,2 %;13001;aix-en-provence;Scolarisés
11 - 14 ans;5 233;12,9 %;24,9 %;13001;aix-en-provence;Scolarisés
15 - 17 ans;4 304;10,6 %;18,4 %;13001;aix-en-provence;Scolarisés
18 - 24 ans;17 456;43,2 %;9,1 %;13001;aix-en-provence;Scolarisés
25 - 29 ans;1 842;4,6 %;0,7 %;13001;aix-en-provence;Scolarisés
30 ans et plus;1 685;4,2 %;2,2 %;13001;aix-en-provence;Scolarisés
Aucun diplôme;14 316;14,0 %;20,2 %;13001;aix-en-provence;Non scolarisés
Brevet des collèges;4 512;4,4 %;5,5 %;13001;aix-en-provence;Non scolarisés
CAP / BEP;14 435;14,1 %;29,3 %;13001;aix-en-provence;Non scolarisés
