"","0","1","2","3","code_insee","Ville"
"54","Après 2005","2 615","12","14,3 %","05061","gap"
"55","Avant 1919","1 051","2","11,8 %","06004","antibes"
"56","De 1919 à 1945","1 874","4","8,6 %","06004","antibes"
"57","De 1946 à 1970","10 152","26","20,8 %","06004","antibes"
"58","De 1971 à 1990","16 058","41","28,6 %","06004","antibes"
"59","De 1991 à 2005","4 332","11","15,9 %","06004","antibes"
"60","Après 2005","4 869","12","14,3 %","06004","antibes"
"61","Avant 1919","550","2","11,8 %","06027","cagnes-sur-mer"
"62","De 1919 à 1945","997","3","8,6 %","06027","cagnes-sur-mer"
"63","De 1946 à 1970","6 308","24","20,8 %","06027","cagnes-sur-mer"
"64","De 1971 à 1990","11 480","44","28,6 %","06027","cagnes-sur-mer"
"65","De 1991 à 2005","3 427","13","15,9 %","06027","cagnes-sur-mer"
"66","Après 2005","3 114","12","14,3 %","06027","cagnes-sur-mer"
"67","Avant 1919","2 461","6","11,8 %","06029","cannes"
"68","De 1919 à 1945","3 253","8","8,6 %","06029","cannes"
"69","De 1946 à 1970","13 040","34","20,8 %","06029","cannes"
"70","De 1971 à 1990","11 788","31","28,6 %","06029","cannes"
"71","De 1991 à 2005","4 462","11","15,9 %","06029","cannes"
"72","Après 2005","2 615","7","14,3 %","06029","cannes"
"73","Avant 1919","751","3","11,8 %","06030","le-cannet"
"74","De 1919 à 1945","1 208","5","8,6 %","06030","le-cannet"
"75","De 1946 à 1970","7 047","33","20,8 %","06030","le-cannet"
"76","De 1971 à 1990","9 275","44","28,6 %","06030","le-cannet"
"77","De 1991 à 2005","1 798","8","15,9 %","06030","le-cannet"
"78","Après 2005","851","4","14,3 %","06030","le-cannet"
"79","Avant 1919","2 399","11","11,8 %","06069","grasse"
"80","De 1919 à 1945","1 321","6","8,6 %","06069","grasse"
"81","De 1946 à 1970","4 560","22","20,8 %","06069","grasse"
"82","De 1971 à 1990","7 207","35","28,6 %","06069","grasse"
"83","De 1991 à 2005","3 053","14","15,9 %","06069","grasse"
"84","Après 2005","2 054","10","14,3 %","06069","grasse"
"85","Avant 1919","120","1","11,8 %","06079","mandelieu-la-napoule"
"86","De 1919 à 1945","200","1","8,6 %","06079","mandelieu-la-napoule"
"87","De 1946 à 1970","1 798","16","20,8 %","06079","mandelieu-la-napoule"
"88","De 1971 à 1990","6 054","54","28,6 %","06079","mandelieu-la-napoule"
"89","De 1991 à 2005","2 184","19","15,9 %","06079","mandelieu-la-napoule"
"90","Après 2005","717","6","14,3 %","06079","mandelieu-la-napoule"
"91","Avant 1919","1 992","13","11,8 %","06083","menton"
"92","De 1919 à 1945","1 209","8","8,6 %","06083","menton"
"93","De 1946 à 1970","4 103","27","20,8 %","06083","menton"
"94","De 1971 à 1990","4 833","32","28,6 %","06083","menton"
"95","De 1991 à 2005","1 741","11","15,9 %","06083","menton"
"96","Après 2005","953","6","14,3 %","06083","menton"
"97","Avant 1919","14 149","8","11,8 %","06088","nice"
"98","De 1919 à 1945","19 905","11","8,6 %","06088","nice"
"99","De 1946 à 1970","58 129","34","20,8 %","06088","nice"
"100","De 1971 à 1990","51 434","30","28,6 %","06088","nice"
"101","De 1991 à 2005","15 536","9","15,9 %","06088","nice"
"102","Après 2005","10 274","6","14,3 %","06088","nice"
"103","Avant 1919","218","1","11,8 %","06123","saint-laurent-du-var"
"104","De 1919 à 1945","500","3","8,6 %","06123","saint-laurent-du-var"
"105","De 1946 à 1970","2 491","16","20,8 %","06123","saint-laurent-du-var"
"106","De 1971 à 1990","6 455","43","28,6 %","06123","saint-laurent-du-var"
"107","De 1991 à 2005","2 790","19","15,9 %","06123","saint-laurent-du-var"
"108","Après 2005","2 246","15","14,3 %","06123","saint-laurent-du-var"
"109","Avant 1919","1 028","7","11,8 %","06155","vallauris"
"110","De 1919 à 1945","703","5","8,6 %","06155","vallauris"
"111","De 1946 à 1970","2 289","17","20,8 %","06155","vallauris"
"112","De 1971 à 1990","6 620","49","28,6 %","06155","vallauris"
"113","De 1991 à 2005","1 483","11","15,9 %","06155","vallauris"
"114","Après 2005","1 178","8","14,3 %","06155","vallauris"
"115","Avant 1919","1 737","7","11,8 %","08105","charleville-mezieres"
"116","De 1919 à 1945","2 755","12","8,6 %","08105","charleville-mezieres"
"117","De 1946 à 1970","7 576","33","20,8 %","08105","charleville-mezieres"
"118","De 1971 à 1990","7 106","31","28,6 %","08105","charleville-mezieres"
"119","De 1991 à 2005","1 929","8","15,9 %","08105","charleville-mezieres"
"120","Après 2005","1 243","5","14,3 %","08105","charleville-mezieres"
"121","Avant 1919","3 482","10","11,8 %","10387","troyes"
"122","De 1919 à 1945","3 032","9","8,6 %","10387","troyes"
"123","De 1946 à 1970","10 502","31","20,8 %","10387","troyes"
"124","De 1971 à 1990","8 227","24","28,6 %","10387","troyes"
"125","De 1991 à 2005","3 424","10","15,9 %","10387","troyes"
"126","Après 2005","4 405","13","14,3 %","10387","troyes"
"127","Avant 1919","2 672","11","11,8 %","11069","carcassonne"
"128","De 1919 à 1945","1 831","7","8,6 %","11069","carcassonne"
"129","De 1946 à 1970","5 740","24","20,8 %","11069","carcassonne"
"130","De 1971 à 1990","7 024","30","28,6 %","11069","carcassonne"
"131","De 1991 à 2005","4 102","17","15,9 %","11069","carcassonne"
"132","Après 2005","1 821","7","14,3 %","11069","carcassonne"
"133","Avant 1919","2 324","8","11,8 %","11262","narbonne"
"134","De 1919 à 1945","2 180","7","8,6 %","11262","narbonne"
"135","De 1946 à 1970","6 343","22","20,8 %","11262","narbonne"
"136","De 1971 à 1990","8 026","27","28,6 %","11262","narbonne"
"137","De 1991 à 2005","4 669","16","15,9 %","11262","narbonne"
"138","Après 2005","5 320","18","14,3 %","11262","narbonne"
"139","Avant 1919","1 160","11","11,8 %","12145","millau"
"140","De 1919 à 1945","1 006","9","8,6 %","12145","millau"
"141","De 1946 à 1970","3 197","30","20,8 %","12145","millau"
"142","De 1971 à 1990","2 873","27","28,6 %","12145","millau"
"143","De 1991 à 2005","1 384","13","15,9 %","12145","millau"
"144","Après 2005","943","8","14,3 %","12145","millau"
"145","Avant 1919","831","6","11,8 %","12202","rodez"
"146","De 1919 à 1945","774","5","8,6 %","12202","rodez"
"147","De 1946 à 1970","3 465","25","20,8 %","12202","rodez"
"148","De 1971 à 1990","5 168","37","28,6 %","12202","rodez"
"149","De 1991 à 2005","2 333","17","15,9 %","12202","rodez"
"150","Après 2005","1 137","8","14,3 %","12202","rodez"
"151","Avant 1919","6 414","8","11,8 %","13001","aix-en-provence"
"152","De 1919 à 1945","2 997","4","8,6 %","13001","aix-en-provence"
"153","De 1946 à 1970","19 345","26","20,8 %","13001","aix-en-provence"
"154","De 1971 à 1990","24 005","32","28,6 %","13001","aix-en-provence"
"155","De 1991 à 2005","11 545","15","15,9 %","13001","aix-en-provence"
"156","Après 2005","8 887","12","14,3 %","13001","aix-en-provence"
"157","Avant 1919","526","6","11,8 %","13002","allauch"
"158","De 1919 à 1945","724","8","8,6 %","13002","allauch"
"159","De 1946 à 1970","1 402","16","20,8 %","13002","allauch"
"160","De 1971 à 1990","2 960","33","28,6 %","13002","allauch"
"161","De 1991 à 2005","1 523","17","15,9 %","13002","allauch"
"162","Après 2005","1 634","18","14,3 %","13002","allauch"
"163","Avant 1919","3 590","15","11,8 %","13004","arles"
"164","De 1919 à 1945","2 359","10","8,6 %","13004","arles"
"165","De 1946 à 1970","6 625","28","20,8 %","13004","arles"
"166","De 1971 à 1990","5 584","24","28,6 %","13004","arles"
"167","De 1991 à 2005","2 885","12","15,9 %","13004","arles"
"168","Après 2005","2 207","9","14,3 %","13004","arles"
"169","Avant 1919","1 554","7","11,8 %","13005","aubagne"
"170","De 1919 à 1945","1 472","7","8,6 %","13005","aubagne"
"171","De 1946 à 1970","5 026","24","20,8 %","13005","aubagne"
"172","De 1971 à 1990","7 141","35","28,6 %","13005","aubagne"
"173","De 1991 à 2005","3 080","15","15,9 %","13005","aubagne"
"174","Après 2005","2 114","10","14,3 %","13005","aubagne"
"175","Avant 1919","872","4","11,8 %","13028","la-ciotat"
"176","De 1919 à 1945","1 193","6","8,6 %","13028","la-ciotat"
"177","De 1946 à 1970","5 513","30","20,8 %","13028","la-ciotat"
"178","De 1971 à 1990","4 787","26","28,6 %","13028","la-ciotat"
"179","De 1991 à 2005","2 270","12","15,9 %","13028","la-ciotat"
"180","Après 2005","3 460","19","14,3 %","13028","la-ciotat"
"181","Avant 1919","554","5","11,8 %","13041","gardanne"
"182","De 1919 à 1945","638","6","8,6 %","13041","gardanne"
"183","De 1946 à 1970","2 132","22","20,8 %","13041","gardanne"
"184","De 1971 à 1990","2 800","30","28,6 %","13041","gardanne"
"185","De 1991 à 2005","1 348","14","15,9 %","13041","gardanne"
"186","Après 2005","1 856","19","14,3 %","13041","gardanne"
"187","Avant 1919","534","2","11,8 %","13047","istres"
"188","De 1919 à 1945","543","2","8,6 %","13047","istres"
"189","De 1946 à 1970","3 056","15","20,8 %","13047","istres"
"190","De 1971 à 1990","8 101","41","28,6 %","13047","istres"
"191","De 1991 à 2005","3 760","19","15,9 %","13047","istres"
"192","Après 2005","3 461","17","14,3 %","13047","istres"
"193","Avant 1919","167","1","11,8 %","13054","marignane"
"194","De 1919 à 1945","532","3","8,6 %","13054","marignane"
"195","De 1946 à 1970","4 478","31","20,8 %","13054","marignane"
"196","De 1971 à 1990","5 784","41","28,6 %","13054","marignane"
"197","De 1991 à 2005","1 992","14","15,9 %","13054","marignane"
"198","Après 2005","1 150","8","14,3 %","13054","marignane"
"199","Avant 1919","42 674","10","11,8 %","13055","marseille"
"200","De 1919 à 1945","53 489","13","8,6 %","13055","marseille"
"201","De 1946 à 1970","141 459","34","20,8 %","13055","marseille"
"202","De 1971 à 1990","81 267","20","28,6 %","13055","marseille"
"203","De 1991 à 2005","38 458","9","15,9 %","13055","marseille"
"204","Après 2005","49 267","12","14,3 %","13055","marseille"
"205","Avant 1919","888","4","11,8 %","13056","martigues"
"206","De 1919 à 1945","1 056","4","8,6 %","13056","martigues"
"207","De 1946 à 1970","6 355","28","20,8 %","13056","martigues"
"208","De 1971 à 1990","8 011","36","28,6 %","13056","martigues"
"209","De 1991 à 2005","2 777","12","15,9 %","13056","martigues"
"210","Après 2005","3 138","14","14,3 %","13056","martigues"
"211","Avant 1919","276","2","11,8 %","13063","miramas"
"212","De 1919 à 1945","651","5","8,6 %","13063","miramas"
"213","De 1946 à 1970","2 553","23","20,8 %","13063","miramas"
"214","De 1971 à 1990","4 118","37","28,6 %","13063","miramas"
"215","De 1991 à 2005","1 257","11","15,9 %","13063","miramas"
"216","Après 2005","2 093","19","14,3 %","13063","miramas"
"217","Avant 1919","420","4","11,8 %","13071","les-pennes-mirabeau"
"218","De 1919 à 1945","603","6","8,6 %","13071","les-pennes-mirabeau"
"219","De 1946 à 1970","1 924","21","20,8 %","13071","les-pennes-mirabeau"
"220","De 1971 à 1990","3 629","40","28,6 %","13071","les-pennes-mirabeau"
"221","De 1991 à 2005","1 016","11","15,9 %","13071","les-pennes-mirabeau"
"222","Après 2005","1 418","15","14,3 %","13071","les-pennes-mirabeau"
"223","Avant 1919","1 365","6","11,8 %","13103","salon-de-provence"
"224","De 1919 à 1945","738","3","8,6 %","13103","salon-de-provence"
"225","De 1946 à 1970","5 440","27","20,8 %","13103","salon-de-provence"
"226","De 1971 à 1990","5 631","28","28,6 %","13103","salon-de-provence"
"227","De 1991 à 2005","3 164","15","15,9 %","13103","salon-de-provence"
"228","Après 2005","3 616","18","14,3 %","13103","salon-de-provence"
"229","Avant 1919","273","2","11,8 %","13117","vitrolles"
"230","De 1919 à 1945","181","1","8,6 %","13117","vitrolles"
"231","De 1946 à 1970","1 799","12","20,8 %","13117","vitrolles"
"232","De 1971 à 1990","8 500","61","28,6 %","13117","vitrolles"
"233","De 1991 à 2005","1 919","13","15,9 %","13117","vitrolles"
"234","Après 2005","1 235","8","14,3 %","13117","vitrolles"
"235","Avant 1919","2 471","4","11,8 %","14118","caen"
"236","De 1919 à 1945","3 436","5","8,6 %","14118","caen"
"237","De 1946 à 1970","19 767","33","20,8 %","14118","caen"
"238","De 1971 à 1990","18 476","30","28,6 %","14118","caen"
"239","De 1991 à 2005","9 113","15","15,9 %","14118","caen"
"240","Après 2005","6 587","11","14,3 %","14118","caen"
"241","Avant 1919","116","1","11,8 %","14327","herouville-saint-clair"
"242","De 1919 à 1945","58","0","8,6 %","14327","herouville-saint-clair"
"243","De 1946 à 1970","3 330","30","20,8 %","14327","herouville-saint-clair"
"244","De 1971 à 1990","4 638","41","28,6 %","14327","herouville-saint-clair"
"245","De 1991 à 2005","1 225","11","15,9 %","14327","herouville-saint-clair"
"246","Après 2005","1 705","15","14,3 %","14327","herouville-saint-clair"
"247","Avant 1919","1 378","9","11,8 %","15014","aurillac"
"248","De 1919 à 1945","862","6","8,6 %","15014","aurillac"
"249","De 1946 à 1970","4 789","34","20,8 %","15014","aurillac"
"250","De 1971 à 1990","4 725","33","28,6 %","15014","aurillac"
"251","De 1991 à 2005","1 477","10","15,9 %","15014","aurillac"
"252","Après 2005","868","6","14,3 %","15014","aurillac"
"253","Avant 1919","2 908","12","11,8 %","16015","angouleme"
"254","De 1919 à 1945","2 880","12","8,6 %","16015","angouleme"
"255","De 1946 à 1970","6 344","27","20,8 %","16015","angouleme"
"256","De 1971 à 1990","6 748","29","28,6 %","16015","angouleme"
"257","De 1991 à 2005","2 636","11","15,9 %","16015","angouleme"
"258","Après 2005","1 436","6","14,3 %","16015","angouleme"
"259","Avant 1919","3 207","25","11,8 %","17299","rochefort"
"260","De 1919 à 1945","1 254","10","8,6 %","17299","rochefort"
"261","De 1946 à 1970","3 047","24","20,8 %","17299","rochefort"
"262","De 1971 à 1990","2 887","23","28,6 %","17299","rochefort"
"263","De 1991 à 2005","1 299","10","15,9 %","17299","rochefort"
"264","Après 2005","838","6","14,3 %","17299","rochefort"
"265","Avant 1919","3 676","8","11,8 %","17300","la-rochelle"
"266","De 1919 à 1945","3 024","7","8,6 %","17300","la-rochelle"
"267","De 1946 à 1970","11 551","26","20,8 %","17300","la-rochelle"
"268","De 1971 à 1990","11 811","27","28,6 %","17300","la-rochelle"
"269","De 1991 à 2005","7 634","17","15,9 %","17300","la-rochelle"
"270","Après 2005","5 729","13","14,3 %","17300","la-rochelle"
"271","Avant 1919","2 502","17","11,8 %","17415","saintes"
"272","De 1919 à 1945","1 449","10","8,6 %","17415","saintes"
"273","De 1946 à 1970","3 136","22","20,8 %","17415","saintes"
"274","De 1971 à 1990","3 925","28","28,6 %","17415","saintes"
"275","De 1991 à 2005","1 848","13","15,9 %","17415","saintes"
"276","Après 2005","1 154","8","14,3 %","17415","saintes"
"277","Avant 1919","3 668","11","11,8 %","18033","bourges"
"278","De 1919 à 1945","2 964","9","8,6 %","18033","bourges"
"279","De 1946 à 1970","7 853","24","20,8 %","18033","bourges"
"280","De 1971 à 1990","10 716","33","28,6 %","18033","bourges"
"281","De 1991 à 2005","3 430","10","15,9 %","18033","bourges"
"282","Après 2005","3 336","10","14,3 %","18033","bourges"
"283","Avant 1919","1 255","10","11,8 %","18279","vierzon"
"284","De 1919 à 1945","1 799","14","8,6 %","18279","vierzon"
"285","De 1946 à 1970","4 156","33","20,8 %","18279","vierzon"
"286","De 1971 à 1990","3 548","28","28,6 %","18279","vierzon"
"287","De 1991 à 2005","794","6","15,9 %","18279","vierzon"
"288","Après 2005","831","6","14,3 %","18279","vierzon"
"289","Avant 1919","970","4","11,8 %","19031","brive-la-gaillarde"
"290","De 1919 à 1945","2 980","12","8,6 %","19031","brive-la-gaillarde"
"291","De 1946 à 1970","8 737","35","20,8 %","19031","brive-la-gaillarde"
"292","De 1971 à 1990","7 331","29","28,6 %","19031","brive-la-gaillarde"
"293","De 1991 à 2005","2 755","11","15,9 %","19031","brive-la-gaillarde"
"294","Après 2005","1 712","7","14,3 %","19031","brive-la-gaillarde"
"295","Avant 1919","1 295","12","11,8 %","21054","beaune"
"296","De 1919 à 1945","510","5","8,6 %","21054","beaune"
"297","De 1946 à 1970","2 381","23","20,8 %","21054","beaune"
"298","De 1971 à 1990","3 511","34","28,6 %","21054","beaune"
"299","De 1991 à 2005","1 408","13","15,9 %","21054","beaune"
"300","Après 2005","1 150","11","14,3 %","21054","beaune"
"301","Avant 1919","8 654","10","11,8 %","21231","dijon"
"302","De 1919 à 1945","7 954","9","8,6 %","21231","dijon"
"303","De 1946 à 1970","21 303","24","20,8 %","21231","dijon"
"304","De 1971 à 1990","24 863","28","28,6 %","21231","dijon"
"305","De 1991 à 2005","14 740","17","15,9 %","21231","dijon"
"306","Après 2005","8 923","10","14,3 %","21231","dijon"
"307","Avant 1919","820","8","11,8 %","22113","lannion"
"308","De 1919 à 1945","517","5","8,6 %","22113","lannion"
"309","De 1946 à 1970","1 838","17","20,8 %","22113","lannion"
"310","De 1971 à 1990","2 938","28","28,6 %","22113","lannion"
"311","De 1991 à 2005","2 202","21","15,9 %","22113","lannion"
"312","Après 2005","1 973","19","14,3 %","22113","lannion"
"313","Avant 1919","1 254","5","11,8 %","22278","saint-brieuc"
"314","De 1919 à 1945","2 012","8","8,6 %","22278","saint-brieuc"
"315","De 1946 à 1970","7 622","33","20,8 %","22278","saint-brieuc"
"316","De 1971 à 1990","6 848","30","28,6 %","22278","saint-brieuc"
"317","De 1991 à 2005","2 922","12","15,9 %","22278","saint-brieuc"
"318","Après 2005","2 204","9","14,3 %","22278","saint-brieuc"
"319","Avant 1919","1 313","9","11,8 %","24037","bergerac"
"320","De 1919 à 1945","1 598","11","8,6 %","24037","bergerac"
"321","De 1946 à 1970","3 563","25","20,8 %","24037","bergerac"
"322","De 1971 à 1990","3 649","26","28,6 %","24037","bergerac"
"323","De 1991 à 2005","1 935","13","15,9 %","24037","bergerac"
"324","Après 2005","2 001","14","14,3 %","24037","bergerac"
"325","Avant 1919","2 589","15","11,8 %","24322","perigueux"
"326","De 1919 à 1945","2 612","15","8,6 %","24322","perigueux"
"327","De 1946 à 1970","4 170","24","20,8 %","24322","perigueux"
"328","De 1971 à 1990","4 221","24","28,6 %","24322","perigueux"
"329","De 1991 à 2005","1 920","11","15,9 %","24322","perigueux"
"330","Après 2005","1 551","9","14,3 %","24322","perigueux"
"331","Avant 1919","5 778","9","11,8 %","25056","besancon"
"332","De 1919 à 1945","3 622","5","8,6 %","25056","besancon"
"333","De 1946 à 1970","18 042","28","20,8 %","25056","besancon"
"334","De 1971 à 1990","17 552","27","28,6 %","25056","besancon"
"335","De 1991 à 2005","10 853","17","15,9 %","25056","besancon"
"336","Après 2005","7 106","11","14,3 %","25056","besancon"
"337","Avant 1919","675","5","11,8 %","25388","montbeliard"
"338","De 1919 à 1945","700","6","8,6 %","25388","montbeliard"
"339","De 1946 à 1970","4 426","38","20,8 %","25388","montbeliard"
"340","De 1971 à 1990","3 485","30","28,6 %","25388","montbeliard"
"341","De 1991 à 2005","1 278","11","15,9 %","25388","montbeliard"
"342","Après 2005","870","7","14,3 %","25388","montbeliard"
"343","Avant 1919","1 234","6","11,8 %","26198","montelimar"
"344","De 1919 à 1945","1 081","5","8,6 %","26198","montelimar"
"345","De 1946 à 1970","4 481","23","20,8 %","26198","montelimar"
"346","De 1971 à 1990","5 120","27","28,6 %","26198","montelimar"
"347","De 1991 à 2005","3 355","17","15,9 %","26198","montelimar"
"348","Après 2005","3 660","19","14,3 %","26198","montelimar"
"349","Avant 1919","1 382","8","11,8 %","26281","romans-sur-isere"
"350","De 1919 à 1945","1 363","8","8,6 %","26281","romans-sur-isere"
"351","De 1946 à 1970","5 039","31","20,8 %","26281","romans-sur-isere"
"352","De 1971 à 1990","4 165","26","28,6 %","26281","romans-sur-isere"
"353","De 1991 à 2005","1 795","11","15,9 %","26281","romans-sur-isere"
"354","Après 2005","2 290","14","14,3 %","26281","romans-sur-isere"
"355","Avant 1919","1 753","5","11,8 %","26362","valence"
"356","De 1919 à 1945","2 554","7","8,6 %","26362","valence"
"357","De 1946 à 1970","11 663","36","20,8 %","26362","valence"
"358","De 1971 à 1990","8 591","26","28,6 %","26362","valence"
"359","De 1991 à 2005","4 204","13","15,9 %","26362","valence"
"360","Après 2005","3 633","11","14,3 %","26362","valence"
"361","Avant 1919","958","4","11,8 %","27229","evreux"
"362","De 1919 à 1945","1 112","4","8,6 %","27229","evreux"
"363","De 1946 à 1970","7 570","33","20,8 %","27229","evreux"
"364","De 1971 à 1990","7 059","31","28,6 %","27229","evreux"
"365","De 1991 à 2005","3 767","16","15,9 %","27229","evreux"
"366","Après 2005","2 313","10","14,3 %","27229","evreux"
"367","Avant 1919","1 059","9","11,8 %","27681","vernon"
"368","De 1919 à 1945","930","8","8,6 %","27681","vernon"
"369","De 1946 à 1970","3 198","29","20,8 %","27681","vernon"
"370","De 1971 à 1990","2 937","27","28,6 %","27681","vernon"
"371","De 1991 à 2005","1 300","12","15,9 %","27681","vernon"
"372","Après 2005","1 448","13","14,3 %","27681","vernon"
"373","Avant 1919","1 766","9","11,8 %","28085","chartres"
"374","De 1919 à 1945","1 243","6","8,6 %","28085","chartres"
"375","De 1946 à 1970","4 986","25","20,8 %","28085","chartres"
"376","De 1971 à 1990","6 290","32","28,6 %","28085","chartres"
"377","De 1991 à 2005","2 571","13","15,9 %","28085","chartres"
"378","Après 2005","2 544","13","14,3 %","28085","chartres"
"379","Avant 1919","795","6","11,8 %","28134","dreux"
"380","De 1919 à 1945","1 045","8","8,6 %","28134","dreux"
"381","De 1946 à 1970","4 161","34","20,8 %","28134","dreux"
"382","De 1971 à 1990","3 673","30","28,6 %","28134","dreux"
"383","De 1991 à 2005","873","7","15,9 %","28134","dreux"
"384","Après 2005","1 572","13","14,3 %","28134","dreux"
"385","Avant 1919","2 159","2","11,8 %","29019","brest"
"386","De 1919 à 1945","4 607","6","8,6 %","29019","brest"
"387","De 1946 à 1970","29 563","39","20,8 %","29019","brest"
"388","De 1971 à 1990","24 098","32","28,6 %","29019","brest"
"389","De 1991 à 2005","8 631","11","15,9 %","29019","brest"
"390","Après 2005","6 167","8","14,3 %","29019","brest"
"391","Avant 1919","491","4","11,8 %","29039","concarneau"
"392","De 1919 à 1945","603","5","8,6 %","29039","concarneau"
"393","De 1946 à 1970","2 734","25","20,8 %","29039","concarneau"
"394","De 1971 à 1990","3 545","32","28,6 %","29039","concarneau"
"395","De 1991 à 2005","1 663","15","15,9 %","29039","concarneau"
"396","Après 2005","1 771","16","14,3 %","29039","concarneau"
"397","Avant 1919","1 289","3","11,8 %","29232","quimper"
"398","De 1919 à 1945","2 434","7","8,6 %","29232","quimper"
"399","De 1946 à 1970","8 921","26","20,8 %","29232","quimper"
"400","De 1971 à 1990","11 291","33","28,6 %","29232","quimper"
"401","De 1991 à 2005","6 292","18","15,9 %","29232","quimper"
"402","Après 2005","3 608","10","14,3 %","29232","quimper"
"403","Avant 1919","1 306","4","11,8 %","2A004","ajaccio"
"404","De 1919 à 1945","2 253","7","8,6 %","2A004","ajaccio"
"405","De 1946 à 1970","9 940","32","20,8 %","2A004","ajaccio"
"406","De 1971 à 1990","11 985","38","28,6 %","2A004","ajaccio"
"407","De 1991 à 2005","2 522","8","15,9 %","2A004","ajaccio"
"408","Après 2005","2 938","9","14,3 %","2A004","ajaccio"
"409","Avant 1919","2 824","13","11,8 %","2B033","bastia"
"410","De 1919 à 1945","2 292","11","8,6 %","2B033","bastia"
"411","De 1946 à 1970","3 928","19","20,8 %","2B033","bastia"
"412","De 1971 à 1990","7 164","34","28,6 %","2B033","bastia"
"413","De 1991 à 2005","2 308","11","15,9 %","2B033","bastia"
"414","Après 2005","2 188","10","14,3 %","2B033","bastia"
"415","Avant 1919","1 296","5","11,8 %","30007","ales"
"416","De 1919 à 1945","2 850","12","8,6 %","30007","ales"
"417","De 1946 à 1970","7 848","34","20,8 %","30007","ales"
"418","De 1971 à 1990","5 479","24","28,6 %","30007","ales"
"419","De 1991 à 2005","2 420","10","15,9 %","30007","ales"
"420","Après 2005","2 709","12","14,3 %","30007","ales"
"421","Avant 1919","4 855","6","11,8 %","30189","nimes"
"422","De 1919 à 1945","5 276","7","8,6 %","30189","nimes"
"423","De 1946 à 1970","18 372","26","20,8 %","30189","nimes"
"424","De 1971 à 1990","21 363","30","28,6 %","30189","nimes"
