Catégorie socioprofessionnelle,2010,%,2015,%.1,2021,%.2,code_insee,Ville
Professions intermédiaires,4720,"14,3",4736,"14,0",4885,"14,2",05061,gap
Employés,6399,"19,3",6899,"20,5",6102,"17,7",05061,gap
Ouvriers,3321,"10,0",3646,"10,8",3236,"9,4",05061,gap
Retraités,10119,"30,6",10053,"29,8",11629,"33,7",05061,gap
Autres personnes sans activité professionnelle,5018,"15,2",4952,"14,7",5016,"14,6",05061,gap
Ensemble,63766,"100,0",64170,"100,0",65380,"100,0",06004,antibes
Agriculteurs exploitants,84,"0,1",44,"0,1",58,"0,1",06004,antibes
"Artisans, commerçants, chefs d'entreprise",3197,"5,0",2881,"4,5",3422,"5,2",06004,antibes
Cadres et professions intellectuelles supérieures,7023,"11,0",7747,"12,1",8950,"13,7",06004,antibes
Professions intermédiaires,7810,"12,2",8303,"12,9",8725,"13,3",06004,antibes
Employés,10825,"17,0",10675,"16,6",9947,"15,2",06004,antibes
Ouvriers,5193,"8,1",4715,"7,3",4233,"6,5",06004,antibes
Retraités,20556,"32,2",20300,"31,6",21119,"32,3",06004,antibes
Autres personnes sans activité professionnelle,9078,"14,2",9505,"14,8",8926,"13,7",06004,antibes
Ensemble,40342,"100,0",42100,"100,0",44322,"100,0",06027,cagnes-sur-mer
Agriculteurs exploitants,130,"0,3",50,"0,1",32,"0,1",06027,cagnes-sur-mer
"Artisans, commerçants, chefs d'entreprise",1992,"4,9",2132,"5,1",2375,"5,4",06027,cagnes-sur-mer
Cadres et professions intellectuelles supérieures,3238,"8,0",3697,"8,8",4131,"9,3",06027,cagnes-sur-mer
Professions intermédiaires,5425,"13,4",5801,"13,8",6211,"14,0",06027,cagnes-sur-mer
Employés,6727,"16,7",7339,"17,4",7649,"17,3",06027,cagnes-sur-mer
Ouvriers,3660,"9,1",3549,"8,4",3806,"8,6",06027,cagnes-sur-mer
Retraités,13601,"33,7",14130,"33,6",14200,"32,0",06027,cagnes-sur-mer
Autres personnes sans activité professionnelle,5570,"13,8",5402,"12,8",5919,"13,4",06027,cagnes-sur-mer
Ensemble,62737,"100,0",64194,"100,0",63251,"100,0",06029,cannes
Agriculteurs exploitants,64,"0,1",53,"0,1",5,"0,0",06029,cannes
"Artisans, commerçants, chefs d'entreprise",2700,"4,3",3217,"5,0",3337,"5,3",06029,cannes
Cadres et professions intellectuelles supérieures,3664,"5,8",3669,"5,7",4057,"6,4",06029,cannes
Professions intermédiaires,6425,"10,2",6768,"10,5",6405,"10,1",06029,cannes
Employés,11997,"19,1",11571,"18,0",11085,"17,5",06029,cannes
Ouvriers,5907,"9,4",5501,"8,6",5698,"9,0",06029,cannes
Retraités,22039,"35,1",22778,"35,5",21431,"33,9",06029,cannes
Autres personnes sans activité professionnelle,9940,"15,8",10637,"16,6",11232,"17,8",06029,cannes
Ensemble,36339,"100,0",35780,"100,0",35737,"100,0",06030,le-cannet
Agriculteurs exploitants,18,"0,0",10,"0,0",7,"0,0",06030,le-cannet
"Artisans, commerçants, chefs d'entreprise",1668,"4,6",1686,"4,7",2005,"5,6",06030,le-cannet
Cadres et professions intellectuelles supérieures,2312,"6,4",2285,"6,4",2569,"7,2",06030,le-cannet
Professions intermédiaires,4660,"12,8",4704,"13,1",4617,"12,9",06030,le-cannet
Employés,6606,"18,2",6623,"18,5",6206,"17,4",06030,le-cannet
Ouvriers,3698,"10,2",3408,"9,5",3632,"10,2",06030,le-cannet
Retraités,12143,"33,4",12182,"34,0",11273,"31,5",06030,le-cannet
Autres personnes sans activité professionnelle,5235,"14,4",4882,"13,6",5429,"15,2",06030,le-cannet
Ensemble,41261,"100,0",41227,"100,0",40441,"100,0",06069,grasse
Agriculteurs exploitants,53,"0,1",22,"0,1",43,"0,1",06069,grasse
"Artisans, commerçants, chefs d'entreprise",1855,"4,5",1949,"4,7",2184,"5,4",06069,grasse
Cadres et professions intellectuelles supérieures,3863,"9,4",3681,"8,9",3752,"9,3",06069,grasse
Professions intermédiaires,5938,"14,4",5672,"13,8",5461,"13,5",06069,grasse
Employés,7674,"18,6",7422,"18,0",6693,"16,5",06069,grasse
Ouvriers,5208,"12,6",5433,"13,2",4646,"11,5",06069,grasse
Retraités,9517,"23,1",10280,"24,9",10104,"25,0",06069,grasse
Autres personnes sans activité professionnelle,7153,"17,3",6768,"16,4",7557,"18,7",06069,grasse
Ensemble,19251,"100,0",19467,"100,0",18273,"100,0",06079,mandelieu-la-napoule
Agriculteurs exploitants,30,"0,2",16,"0,1",7,"0,0",06079,mandelieu-la-napoule
"Artisans, commerçants, chefs d'entreprise",789,"4,1",1019,"5,2",1092,"6,0",06079,mandelieu-la-napoule
Cadres et professions intellectuelles supérieures,1487,"7,7",1517,"7,8",1484,"8,1",06079,mandelieu-la-napoule
Professions intermédiaires,2718,"14,1",2745,"14,1",2274,"12,4",06079,mandelieu-la-napoule
Employés,3420,"17,8",3501,"18,0",3023,"16,5",06079,mandelieu-la-napoule
Ouvriers,1743,"9,1",1437,"7,4",1299,"7,1",06079,mandelieu-la-napoule
Retraités,6803,"35,3",7160,"36,8",6984,"38,2",06079,mandelieu-la-napoule
Autres personnes sans activité professionnelle,2261,"11,7",2071,"10,6",2110,"11,5",06079,mandelieu-la-napoule
Ensemble,24757,"100,0",23866,"100,0",25720,"100,0",06083,menton
Agriculteurs exploitants,21,"0,1",20,"0,1",9,"0,0",06083,menton
"Artisans, commerçants, chefs d'entreprise",983,"4,0",1062,"4,5",1075,"4,2",06083,menton
Cadres et professions intellectuelles supérieures,1196,"4,8",1243,"5,2",1517,"5,9",06083,menton
Professions intermédiaires,2709,"10,9",2715,"11,4",3260,"12,7",06083,menton
Employés,5421,"21,9",4895,"20,5",5542,"21,5",06083,menton
Ouvriers,2712,"11,0",2459,"10,3",2511,"9,8",06083,menton
Retraités,8107,"32,7",8255,"34,6",8097,"31,5",06083,menton
Autres personnes sans activité professionnelle,3609,"14,6",3217,"13,5",3709,"14,4",06083,menton
Ensemble,290063,"100,0",289274,"100,0",294911,"100,0",06088,nice
Agriculteurs exploitants,247,"0,1",212,"0,1",147,"0,0",06088,nice
"Artisans, commerçants, chefs d'entreprise",10899,"3,8",11610,"4,0",12486,"4,2",06088,nice
Cadres et professions intellectuelles supérieures,23600,"8,1",25091,"8,7",29698,"10,1",06088,nice
Professions intermédiaires,37456,"12,9",37125,"12,8",37793,"12,8",06088,nice
Employés,51339,"17,7",50927,"17,6",49568,"16,8",06088,nice
Ouvriers,26241,"9,0",24784,"8,6",24687,"8,4",06088,nice
Retraités,84126,"29,0",83691,"28,9",79912,"27,1",06088,nice
Autres personnes sans activité professionnelle,56156,"19,4",55835,"19,3",60621,"20,6",06088,nice
Ensemble,25148,"100,0",24658,"100,0",26776,"100,0",06123,saint-laurent-du-var
Agriculteurs exploitants,89,"0,4",50,"0,2",19,"0,1",06123,saint-laurent-du-var
"Artisans, commerçants, chefs d'entreprise",1245,"5,0",1037,"4,2",1237,"4,6",06123,saint-laurent-du-var
Cadres et professions intellectuelles supérieures,2270,"9,0",2274,"9,2",2655,"9,9",06123,saint-laurent-du-var
Professions intermédiaires,4157,"16,5",4216,"17,1",4535,"16,9",06123,saint-laurent-du-var
Employés,4584,"18,2",4519,"18,3",4844,"18,1",06123,saint-laurent-du-var
Ouvriers,2281,"9,1",2125,"8,6",2309,"8,6",06123,saint-laurent-du-var
Retraités,7240,"28,8",7543,"30,6",7643,"28,5",06123,saint-laurent-du-var
Autres personnes sans activité professionnelle,3281,"13,0",2894,"11,7",3535,"13,2",06123,saint-laurent-du-var
Ensemble,23618,"100,0",21860,"100,0",23817,"100,0",06155,vallauris
Agriculteurs exploitants,42,"0,2",19,"0,1",36,"0,2",06155,vallauris
"Artisans, commerçants, chefs d'entreprise",1270,"5,4",1221,"5,6",1210,"5,1",06155,vallauris
Cadres et professions intellectuelles supérieures,1593,"6,7",1578,"7,2",1662,"7,0",06155,vallauris
Professions intermédiaires,2679,"11,3",2211,"10,1",2503,"10,5",06155,vallauris
Employés,3973,"16,8",3622,"16,6",4002,"16,8",06155,vallauris
Ouvriers,2392,"10,1",2282,"10,4",2388,"10,0",06155,vallauris
Retraités,7966,"33,7",7514,"34,4",8212,"34,5",06155,vallauris
Autres personnes sans activité professionnelle,3704,"15,7",3414,"15,6",3804,"16,0",06155,vallauris
Ensemble,41137,"100,0",39618,"100,0",38749,"100,0",08105,charleville-mezieres
Agriculteurs exploitants,21,"0,1",19,"0,0",4,"0,0",08105,charleville-mezieres
"Artisans, commerçants, chefs d'entreprise",912,"2,2",799,"2,0",883,"2,3",08105,charleville-mezieres
Cadres et professions intellectuelles supérieures,2364,"5,7",2321,"5,9",2172,"5,6",08105,charleville-mezieres
Professions intermédiaires,4673,"11,4",4409,"11,1",4309,"11,1",08105,charleville-mezieres
Employés,7004,"17,0",6432,"16,2",6266,"16,2",08105,charleville-mezieres
Ouvriers,5802,"14,1",5193,"13,1",5095,"13,1",08105,charleville-mezieres
Retraités,10715,"26,0",11485,"29,0",11134,"28,7",08105,charleville-mezieres
Autres personnes sans activité professionnelle,9648,"23,5",8960,"22,6",8887,"22,9",08105,charleville-mezieres
Ensemble,50029,"100,0",50709,"100,0",51913,"100,0",10387,troyes
Agriculteurs exploitants,60,"0,1",76,"0,2",67,"0,1",10387,troyes
"Artisans, commerçants, chefs d'entreprise",1194,"2,4",1212,"2,4",1391,"2,7",10387,troyes
Cadres et professions intellectuelles supérieures,3062,"6,1",3210,"6,3",3366,"6,5",10387,troyes
Professions intermédiaires,5967,"11,9",6053,"11,9",6533,"12,6",10387,troyes
Employés,8610,"17,2",8763,"17,3",8534,"16,4",10387,troyes
Ouvriers,8159,"16,3",7395,"14,6",6997,"13,5",10387,troyes
Retraités,12676,"25,3",12831,"25,3",11976,"23,1",10387,troyes
Autres personnes sans activité professionnelle,10301,"20,6",11168,"22,0",13049,"25,1",10387,troyes
Ensemble,38914,"100,0",38297,"100,0",39349,"100,0",11069,carcassonne
Agriculteurs exploitants,139,"0,4",127,"0,3",72,"0,2",11069,carcassonne
"Artisans, commerçants, chefs d'entreprise",1347,"3,5",1311,"3,4",1383,"3,5",11069,carcassonne
Cadres et professions intellectuelles supérieures,2411,"6,2",2107,"5,5",2219,"5,6",11069,carcassonne
Professions intermédiaires,4701,"12,1",4514,"11,8",4708,"12,0",11069,carcassonne
Employés,7514,"19,3",7331,"19,1",7307,"18,6",11069,carcassonne
Ouvriers,4402,"11,3",3991,"10,4",3637,"9,2",11069,carcassonne
Retraités,11226,"28,8",11636,"30,4",11912,"30,3",11069,carcassonne
Autres personnes sans activité professionnelle,7174,"18,4",7281,"19,0",8112,"20,6",11069,carcassonne
Ensemble,42767,"100,0",45041,"100,0",47787,"100,0",11262,narbonne
Agriculteurs exploitants,134,"0,3",109,"0,2",126,"0,3",11262,narbonne
"Artisans, commerçants, chefs d'entreprise",1795,"4,2",1797,"4,0",2043,"4,3",11262,narbonne
Cadres et professions intellectuelles supérieures,2295,"5,4",2491,"5,5",2763,"5,8",11262,narbonne
Professions intermédiaires,5016,"11,7",5663,"12,6",6004,"12,6",11262,narbonne
Employés,7250,"17,0",7480,"16,6",7550,"15,8",11262,narbonne
Ouvriers,4642,"10,9",4764,"10,6",4542,"9,5",11262,narbonne
Retraités,13246,"31,0",14496,"32,2",15163,"31,7",11262,narbonne
Autres personnes sans activité professionnelle,8391,"19,6",8241,"18,3",9595,"20,1",11262,narbonne
Ensemble,18462,"100,0",18714,"100,0",18521,"100,0",12145,millau
Agriculteurs exploitants,101,"0,5",94,"0,5",126,"0,7",12145,millau
"Artisans, commerçants, chefs d'entreprise",710,"3,8",731,"3,9",847,"4,6",12145,millau
Cadres et professions intellectuelles supérieures,1024,"5,5",896,"4,8",1019,"5,5",12145,millau
Professions intermédiaires,2267,"12,3",2357,"12,6",2398,"12,9",12145,millau
Employés,3095,"16,8",3152,"16,8",3254,"17,6",12145,millau
Ouvriers,2239,"12,1",2318,"12,4",2020,"10,9",12145,millau
Retraités,6757,"36,6",6734,"36,0",6270,"33,9",12145,millau
Autres personnes sans activité professionnelle,2270,"12,3",2431,"13,0",2587,"14,0",12145,millau
Ensemble,20752,"100,0",20775,"100,0",20915,"100,0",12202,rodez
Agriculteurs exploitants,41,"0,2",39,"0,2",30,"0,1",12202,rodez
"Artisans, commerçants, chefs d'entreprise",641,"3,1",692,"3,3",688,"3,3",12202,rodez
Cadres et professions intellectuelles supérieures,1650,"8,0",1594,"7,7",1872,"9,0",12202,rodez
Professions intermédiaires,3138,"15,1",3089,"14,9",3125,"14,9",12202,rodez
Employés,3467,"16,7",3614,"17,4",3116,"14,9",12202,rodez
Ouvriers,2517,"12,1",2201,"10,6",2003,"9,6",12202,rodez
Retraités,5851,"28,2",5820,"28,0",6351,"30,4",12202,rodez
Autres personnes sans activité professionnelle,3447,"16,6",3726,"17,9",3730,"17,8",12202,rodez
Ensemble,122114,"100,0",123253,"100,0",127654,"100,0",13001,aix-en-provence
Agriculteurs exploitants,156,"0,1",218,"0,2",139,"0,1",13001,aix-en-provence
"Artisans, commerçants, chefs d'entreprise",3877,"3,2",4369,"3,5",4734,"3,7",13001,aix-en-provence
Cadres et professions intellectuelles supérieures,16983,"13,9",18596,"15,1",21550,"16,9",13001,aix-en-provence
Professions intermédiaires,17475,"14,3",17616,"14,3",18568,"14,5",13001,aix-en-provence
Employés,17726,"14,5",17241,"14,0",17658,"13,8",13001,aix-en-provence
Ouvriers,8497,"7,0",7849,"6,4",7432,"5,8",13001,aix-en-provence
Retraités,26827,"22,0",27389,"22,2",28221,"22,1",13001,aix-en-provence
Autres personnes sans activité professionnelle,30574,"25,0",29976,"24,3",29352,"23,0",13001,aix-en-provence
Ensemble,16348,"100,0",17766,"100,0",17749,"100,0",13002,allauch
Agriculteurs exploitants,37,"0,2",4,"0,0",4,"0,0",13002,allauch
"Artisans, commerçants, chefs d'entreprise",629,"3,8",833,"4,7",923,"5,2",13002,allauch
Cadres et professions intellectuelles supérieures,1847,"11,3",2150,"12,1",2182,"12,3",13002,allauch
Professions intermédiaires,2778,"17,0",3138,"17,7",3004,"16,9",13002,allauch
Employés,2391,"14,6",2518,"14,2",2527,"14,2",13002,allauch
Ouvriers,1100,"6,7",1128,"6,4",1078,"6,1",13002,allauch
Retraités,4870,"29,8",5504,"31,0",5623,"31,7",13002,allauch
Autres personnes sans activité professionnelle,2696,"16,5",2491,"14,0",2408,"13,6",13002,allauch
Ensemble,43429,"100,0",44142,"100,0",42220,"100,0",13004,arles
Agriculteurs exploitants,350,"0,8",400,"0,9",332,"0,8",13004,arles
"Artisans, commerçants, chefs d'entreprise",1520,"3,5",1535,"3,5",1845,"4,4",13004,arles
Cadres et professions intellectuelles supérieures,2436,"5,6",2247,"5,1",2712,"6,4",13004,arles
Professions intermédiaires,5012,"11,5",5126,"11,6",5048,"12,0",13004,arles
Employés,7343,"16,9",6793,"15,4",6362,"15,1",13004,arles
Ouvriers,5737,"13,2",5180,"11,7",4739,"11,2",13004,arles
Retraités,12372,"28,5",13586,"30,8",12317,"29,2",13004,arles
Autres personnes sans activité professionnelle,8658,"19,9",9274,"21,0",8865,"21,0",13004,arles
Ensemble,38184,"100,0",37282,"100,0",39004,"100,0",13005,aubagne
Agriculteurs exploitants,69,"0,2",73,"0,2",41,"0,1",13005,aubagne
"Artisans, commerçants, chefs d'entreprise",1153,"3,0",1156,"3,1",1340,"3,4",13005,aubagne
Cadres et professions intellectuelles supérieures,2660,"7,0",2765,"7,4",2959,"7,6",13005,aubagne
Professions intermédiaires,5489,"14,4",5317,"14,3",5680,"14,6",13005,aubagne
Employés,7248,"19,0",6814,"18,3",6936,"17,8",13005,aubagne
Ouvriers,4318,"11,3",3723,"10,0",4201,"10,8",13005,aubagne
Retraités,9766,"25,6",11031,"29,6",10674,"27,4",13005,aubagne
Autres personnes sans activité professionnelle,7480,"19,6",6404,"17,2",7174,"18,4",13005,aubagne
Ensemble,28933,"100,0",30238,"100,0",31968,"100,0",13028,la-ciotat
Agriculteurs exploitants,44,"0,2",25,"0,1",42,"0,1",13028,la-ciotat
"Artisans, commerçants, chefs d'entreprise",1110,"3,8",1219,"4,0",1330,"4,2",13028,la-ciotat
Cadres et professions intellectuelles supérieures,2101,"7,3",2536,"8,4",3015,"9,4",13028,la-ciotat
Professions intermédiaires,3832,"13,2",3848,"12,7",4478,"14,0",13028,la-ciotat
Employés,4497,"15,5",4686,"15,5",4377,"13,7",13028,la-ciotat
Ouvriers,2594,"9,0",2519,"8,3",2548,"8,0",13028,la-ciotat
Retraités,9727,"33,6",10152,"33,6",10739,"33,6",13028,la-ciotat
Autres personnes sans activité professionnelle,5027,"17,4",5253,"17,4",5438,"17,0",13028,la-ciotat
Ensemble,16852,"100,0",16171,"100,0",17090,"100,0",13041,gardanne
Agriculteurs exploitants,29,"0,2",17,"0,1",14,"0,1",13041,gardanne
"Artisans, commerçants, chefs d'entreprise",523,"3,1",469,"2,9",496,"2,9",13041,gardanne
Cadres et professions intellectuelles supérieures,1118,"6,6",1288,"8,0",1334,"7,8",13041,gardanne
Professions intermédiaires,2537,"15,1",2504,"15,5",3015,"17,6",13041,gardanne
Employés,3038,"18,0",2852,"17,6",2964,"17,3",13041,gardanne
Ouvriers,2093,"12,4",1897,"11,7",2064,"12,1",13041,gardanne
Retraités,4335,"25,7",4128,"25,5",4256,"24,9",13041,gardanne
Autres personnes sans activité professionnelle,3178,"18,9",3016,"18,7",2948,"17,3",13041,gardanne
Ensemble,34364,"100,0",35021,"100,0",36608,"100,0",13047,istres
Agriculteurs exploitants,77,"0,2",68,"0,2",43,"0,1",13047,istres
"Artisans, commerçants, chefs d'entreprise",821,"2,4",780,"2,2",865,"2,4",13047,istres
Cadres et professions intellectuelles supérieures,2067,"6,0",2027,"5,8",2324,"6,3",13047,istres
Professions intermédiaires,6028,"17,5",5976,"17,1",6303,"17,2",13047,istres
Employés,7300,"21,2",7347,"21,0",7408,"20,2",13047,istres
Ouvriers,4344,"12,6",4448,"12,7",4413,"12,1",13047,istres
Retraités,7657,"22,3",8302,"23,7",9069,"24,8",13047,istres
Autres personnes sans activité professionnelle,6069,"17,7",6073,"17,3",6183,"16,9",13047,istres
Ensemble,27979,"100,0",27189,"100,0",27135,"100,0",13054,marignane
Agriculteurs exploitants,36,"0,1",26,"0,1",18,"0,1",13054,marignane
"Artisans, commerçants, chefs d'entreprise",899,"3,2",979,"3,6",945,"3,5",13054,marignane
Cadres et professions intellectuelles supérieures,1313,"4,7",1422,"5,2",1692,"6,2",13054,marignane
Professions intermédiaires,3975,"14,2",3908,"14,4",4551,"16,8",13054,marignane
Employés,5171,"18,5",4952,"18,2",4603,"17,0",13054,marignane
Ouvriers,4080,"14,6",3741,"13,8",3658,"13,5",13054,marignane
Retraités,6656,"23,8",7046,"25,9",6504,"24,0",13054,marignane
Autres personnes sans activité professionnelle,5848,"20,9",5115,"18,8",5165,"19,0",13054,marignane
Ensemble,695747,"100,0",703485,"100,0",720014,"100,0",13055,marseille
Agriculteurs exploitants,285,"0,0",187,"0,0",195,"0,0",13055,marseille
"Artisans, commerçants, chefs d'entreprise",19648,"2,8",21047,"3,0",24045,"3,3",13055,marseille
Cadres et professions intellectuelles supérieures,60735,"8,7",65773,"9,3",74089,"10,3",13055,marseille
Professions intermédiaires,93033,"13,4",92896,"13,2",98782,"13,7",13055,marseille
Employés,117381,"16,9",116370,"16,5",112937,"15,7",13055,marseille
Ouvriers,67175,"9,7",63390,"9,0",60781,"8,4",13055,marseille
Retraités,170685,"24,5",173021,"24,6",162638,"22,6",13055,marseille
Autres personnes sans activité professionnelle,166805,"24,0",170802,"24,3",186546,"25,9",13055,marseille
Ensemble,39081,"100,0",40980,"100,0",39985,"100,0",13056,martigues
Agriculteurs exploitants,51,"0,1",38,"0,1",56,"0,1",13056,martigues
"Artisans, commerçants, chefs d'entreprise",1044,"2,7",1126,"2,7",1317,"3,3",13056,martigues
Cadres et professions intellectuelles supérieures,2524,"6,5",2739,"6,7",2719,"6,8",13056,martigues
Professions intermédiaires,5808,"14,9",5963,"14,6",5799,"14,5",13056,martigues
Employés,6894,"17,6",6919,"16,9",6749,"16,9",13056,martigues
Ouvriers,5057,"12,9",4901,"12,0",4937,"12,3",13056,martigues
Retraités,10322,"26,4",11621,"28,4",10858,"27,2",13056,martigues
Autres personnes sans activité professionnelle,7382,"18,9",7674,"18,7",7552,"18,9",13056,martigues
Ensemble,20020,"100,0",20335,"100,0",20923,"100,0",13063,miramas
Agriculteurs exploitants,27,"0,1",39,"0,2",14,"0,1",13063,miramas
"Artisans, commerçants, chefs d'entreprise",544,"2,7",496,"2,4",591,"2,8",13063,miramas
Cadres et professions intellectuelles supérieures,737,"3,7",717,"3,5",781,"3,7",13063,miramas
Professions intermédiaires,2485,"12,4",2439,"12,0",2723,"13,0",13063,miramas
Employés,3428,"17,1",3522,"17,3",3308,"15,8",13063,miramas
Ouvriers,3777,"18,9",3638,"17,9",3553,"17,0",13063,miramas
Retraités,4729,"23,6",4867,"23,9",5320,"25,4",13063,miramas
Autres personnes sans activité professionnelle,4293,"21,4",4618,"22,7",4634,"22,1",13063,miramas
Ensemble,16243,"100,0",17759,"100,0",18709,"100,0",13071,les-pennes-mirabeau
