Catégorie ou type de logement,2010,%,2015,%,2021,%,code_insee,Ville
Logements vacants,7 890,"8,8",10 399,"10,7",12 854,"12,7",38185,grenoble
,,,,,,,38185,grenoble
Maisons,3 064,"3,4",3 279,"3,4",3 075,"3,0",38185,grenoble
Appartements,84 738,"94,6",92 730,"95,4",96 783,"95,7",38185,grenoble
Ensemble,15 793,"100,0",17 988,"100,0",18 566,"100,0",38421,saint-martin-d-heres
Résidences principales,15 053,"95,3",16 987,"94,4",17 264,"93,0",38421,saint-martin-d-heres
Résidences secondaires et logements occasionnels,94,"0,6",143,"0,8",234,"1,3",38421,saint-martin-d-heres
Logements vacants,646,"4,1",858,"4,8",1 068,"5,8",38421,saint-martin-d-heres
,,,,,,,38421,saint-martin-d-heres
Maisons,2 121,"13,4",2 223,"12,4",2 083,"11,2",38421,saint-martin-d-heres
Appartements,13 273,"84,0",15 418,"85,7",16 063,"86,5",38421,saint-martin-d-heres
Ensemble,15 479,"100,0",15 694,"100,0",16 713,"100,0",38544,vienne
Résidences principales,13 581,"87,7",13 545,"86,3",14 860,"88,9",38544,vienne
Résidences secondaires et logements occasionnels,224,"1,4",215,"1,4",252,"1,5",38544,vienne
Logements vacants,1 673,"10,8",1 934,"12,3",1 601,"9,6",38544,vienne
,,,,,,,38544,vienne
Maisons,3 328,"21,5",3 285,"20,9",3 744,"22,4",38544,vienne
Appartements,12 072,"78,0",12 351,"78,7",12 902,"77,2",38544,vienne
Ensemble,10 849,"100,0",11 312,"100,0",12 022,"100,0",38563,voiron
Résidences principales,9 583,"88,3",9 901,"87,5",10 483,"87,2",38563,voiron
Résidences secondaires et logements occasionnels,257,"2,4",226,"2,0",184,"1,5",38563,voiron
Logements vacants,1 009,"9,3",1 185,"10,5",1 355,"11,3",38563,voiron
,,,,,,,38563,voiron
Maisons,2 290,"21,1",2 567,"22,7",2 711,"22,5",38563,voiron
Appartements,8 452,"77,9",8 635,"76,3",9 155,"76,2",38563,voiron
Ensemble,12 960,"100,0",13 189,"100,0",13 705,"100,0",39198,dole
Résidences principales,11 665,"90,0",11 544,"87,5",12 297,"89,7",39198,dole
Résidences secondaires et logements occasionnels,161,"1,2",205,"1,6",226,"1,6",39198,dole
Logements vacants,1 134,"8,7",1 440,"10,9",1 182,"8,6",39198,dole
,,,,,,,39198,dole
Maisons,4 880,"37,7",4 987,"37,8",5 162,"37,7",39198,dole
Appartements,7 873,"60,8",8 019,"60,8",8 318,"60,7",39198,dole
Ensemble,15 313,"100,0",15 826,"100,0",16 853,"100,0",40088,dax
Résidences principales,11 155,"72,8",11 549,"73,0",12 176,"72,3",40088,dax
Résidences secondaires et logements occasionnels,2 746,"17,9",2 663,"16,8",3 158,"18,7",40088,dax
Logements vacants,1 413,"9,2",1 615,"10,2",1 518,"9,0",40088,dax
,,,,,,,40088,dax
Maisons,4 796,"31,3",4 880,"30,8",5 154,"30,6",40088,dax
Appartements,10 455,"68,3",10 909,"68,9",11 629,"69,0",40088,dax
Ensemble,16 262,"100,0",16 256,"100,0",16 858,"100,0",40192,mont-de-marsan
Résidences principales,14 472,"89,0",14 608,"89,9",15 069,"89,4",40192,mont-de-marsan
Résidences secondaires et logements occasionnels,198,"1,2",349,"2,1",363,"2,2",40192,mont-de-marsan
Logements vacants,1 592,"9,8",1 299,"8,0",1 426,"8,5",40192,mont-de-marsan
,,,,,,,40192,mont-de-marsan
Maisons,9 450,"58,1",9 467,"58,2",9 616,"57,0",40192,mont-de-marsan
Appartements,6 770,"41,6",6 719,"41,3",7 167,"42,5",40192,mont-de-marsan
Ensemble,25 904,"100,0",26 495,"100,0",27 345,"100,0",41018,blois
Résidences principales,22 529,"87,0",22 581,"85,2",22 987,"84,1",41018,blois
Résidences secondaires et logements occasionnels,451,"1,7",730,"2,8",1 022,"3,7",41018,blois
Logements vacants,2 924,"11,3",3 184,"12,0",3 336,"12,2",41018,blois
,,,,,,,41018,blois
Maisons,8 557,"33,0",8 605,"32,5",8 815,"32,2",41018,blois
Appartements,17 058,"65,9",17 658,"66,6",18 224,"66,6",41018,blois
Ensemble,22 495,"100,0",22 477,"100,0",22 923,"100,0",42187,roanne
Résidences principales,19 213,"85,4",18 375,"81,8",19 102,"83,3",42187,roanne
Résidences secondaires et logements occasionnels,528,"2,3",538,"2,4",656,"2,9",42187,roanne
Logements vacants,2 754,"12,2",3 564,"15,9",3 164,"13,8",42187,roanne
,,,,,,,42187,roanne
Maisons,4 979,"22,1",4 758,"21,2",4 789,"20,9",42187,roanne
Appartements,17 325,"77,0",17 577,"78,2",18 013,"78,6",42187,roanne
Ensemble,17 000,"100,0",17 566,"100,0",17 951,"100,0",42207,saint-chamond
Résidences principales,15 276,"89,9",15 360,"87,4",15 405,"85,8",42207,saint-chamond
Résidences secondaires et logements occasionnels,215,"1,3",135,"0,8",185,"1,0",42207,saint-chamond
Logements vacants,1 508,"8,9",2 072,"11,8",2 361,"13,2",42207,saint-chamond
,,,,,,,42207,saint-chamond
Maisons,5 160,"30,4",5 336,"30,4",5 628,"31,3",42207,saint-chamond
Appartements,11 751,"69,1",12 176,"69,3",12 270,"68,3",42207,saint-chamond
Ensemble,95 706,"100,0",98 517,"100,0",100 759,"100,0",42218,saint-etienne
Résidences principales,82 943,"86,7",84 158,"85,4",85 898,"85,3",42218,saint-etienne
Résidences secondaires et logements occasionnels,2 359,"2,5",2 527,"2,6",2 308,"2,3",42218,saint-etienne
Logements vacants,10 403,"10,9",11 832,"12,0",12 554,"12,5",42218,saint-etienne
,,,,,,,42218,saint-etienne
Maisons,10 471,"10,9",10 957,"11,1",10 920,"10,8",42218,saint-etienne
Appartements,84 393,"88,2",86 342,"87,6",87 562,"86,9",42218,saint-etienne
Ensemble,7 300,"100,0",8 058,"100,0",8 977,"100,0",44020,bouguenais
Résidences principales,7 099,"97,3",7 693,"95,5",8 625,"96,1",44020,bouguenais
Résidences secondaires et logements occasionnels,24,"0,3",60,"0,7",77,"0,9",44020,bouguenais
Logements vacants,176,"2,4",306,"3,8",275,"3,1",44020,bouguenais
,,,,,,,44020,bouguenais
Maisons,5 939,"81,4",6 169,"76,5",6 467,"72,0",44020,bouguenais
Appartements,1 350,"18,5",1 850,"23,0",2 463,"27,4",44020,bouguenais
Ensemble,7 379,"100,0",8 450,"100,0",10 056,"100,0",44026,carquefou
Résidences principales,6 955,"94,2",7 814,"92,5",8 907,"88,6",44026,carquefou
Résidences secondaires et logements occasionnels,181,"2,5",292,"3,5",663,"6,6",44026,carquefou
Logements vacants,244,"3,3",344,"4,1",486,"4,8",44026,carquefou
,,,,,,,44026,carquefou
Maisons,5 153,"69,8",5 607,"66,4",5 803,"57,7",44026,carquefou
Appartements,2 156,"29,2",2 772,"32,8",4 141,"41,2",44026,carquefou
Ensemble,6 813,"100,0",8 211,"100,0",8 962,"100,0",44035,la-chapelle-sur-erdre
Résidences principales,6 615,"97,1",7 872,"95,9",8 489,"94,7",44035,la-chapelle-sur-erdre
Résidences secondaires et logements occasionnels,40,"0,6",107,"1,3",231,"2,6",44035,la-chapelle-sur-erdre
Logements vacants,158,"2,3",232,"2,8",241,"2,7",44035,la-chapelle-sur-erdre
,,,,,,,44035,la-chapelle-sur-erdre
Maisons,5 648,"82,9",6 097,"74,3",6 274,"70,0",44035,la-chapelle-sur-erdre
Appartements,1 129,"16,6",2 099,"25,6",2 669,"29,8",44035,la-chapelle-sur-erdre
Ensemble,7 553,"100,0",8 765,"100,0",10 164,"100,0",44047,coueron
Résidences principales,7 219,"95,6",8 411,"96,0",9 712,"95,6",44047,coueron
Résidences secondaires et logements occasionnels,37,"0,5",39,"0,4",86,"0,9",44047,coueron
Logements vacants,297,"3,9",314,"3,6",366,"3,6",44047,coueron
,,,,,,,44047,coueron
Maisons,6 503,"86,1",6 964,"79,5",7 424,"73,0",44047,coueron
Appartements,1 044,"13,8",1 765,"20,1",2 701,"26,6",44047,coueron
Ensemble,160 415,"100,0",174 826,"100,0",191 068,"100,0",44109,nantes
Résidences principales,146 514,"91,3",157 665,"90,2",170 341,"89,2",44109,nantes
Résidences secondaires et logements occasionnels,4 434,"2,8",6 048,"3,5",8 945,"4,7",44109,nantes
Logements vacants,9 467,"5,9",11 114,"6,4",11 782,"6,2",44109,nantes
,,,,,,,44109,nantes
Maisons,34 349,"21,4",35 048,"20,0",35 477,"18,6",44109,nantes
Appartements,124 326,"77,5",137 721,"78,8",153 316,"80,2",44109,nantes
Ensemble,10 951,"100,0",11 898,"100,0",12 898,"100,0",44114,orvault
Résidences principales,10 509,"96,0",11 285,"94,8",12 097,"93,8",44114,orvault
Résidences secondaires et logements occasionnels,48,"0,4",148,"1,2",218,"1,7",44114,orvault
Logements vacants,394,"3,6",465,"3,9",583,"4,5",44114,orvault
,,,,,,,44114,orvault
Maisons,6 613,"60,4",7 005,"58,9",7 318,"56,7",44114,orvault
Appartements,4 291,"39,2",4 862,"40,9",5 503,"42,7",44114,orvault
Ensemble,18 392,"100,0",19 457,"100,0",22 012,"100,0",44143,reze
Résidences principales,17 475,"95,0",18 039,"92,7",20 321,"92,3",44143,reze
Résidences secondaires et logements occasionnels,190,"1,0",317,"1,6",452,"2,1",44143,reze
Logements vacants,728,"4,0",1 102,"5,7",1 240,"5,6",44143,reze
,,,,,,,44143,reze
Maisons,9 733,"52,9",9 918,"51,0",10 300,"46,8",44143,reze
Appartements,8 612,"46,8",9 471,"48,7",11 478,"52,1",44143,reze
Ensemble,19 893,"100,0",22 341,"100,0",25 169,"100,0",44162,saint-herblain
Résidences principales,18 941,"95,2",20 633,"92,4",23 298,"92,6",44162,saint-herblain
Résidences secondaires et logements occasionnels,141,"0,7",477,"2,1",506,"2,0",44162,saint-herblain
Logements vacants,812,"4,1",1 231,"5,5",1 365,"5,4",44162,saint-herblain
,,,,,,,44162,saint-herblain
Maisons,8 496,"42,7",9 023,"40,4",9 073,"36,0",44162,saint-herblain
Appartements,11 175,"56,2",12 983,"58,1",15 528,"61,7",44162,saint-herblain
Ensemble,36 436,"100,0",40 160,"100,0",42 933,"100,0",44184,saint-nazaire
Résidences principales,32 146,"88,2",34 650,"86,3",36 615,"85,3",44184,saint-nazaire
Résidences secondaires et logements occasionnels,1 492,"4,1",2 408,"6,0",2 899,"6,8",44184,saint-nazaire
Logements vacants,2 798,"7,7",3 103,"7,7",3 420,"8,0",44184,saint-nazaire
,,,,,,,44184,saint-nazaire
Maisons,15 629,"42,9",16 102,"40,1",16 612,"38,7",44184,saint-nazaire
Appartements,20 326,"55,8",23 667,"58,9",25 828,"60,2",44184,saint-nazaire
Ensemble,11 460,"100,0",12 884,"100,0",14 566,"100,0",44190,saint-sebastien-sur-loire
Résidences principales,11 066,"96,6",12 167,"94,4",13 755,"94,4",44190,saint-sebastien-sur-loire
Résidences secondaires et logements occasionnels,68,"0,6",204,"1,6",240,"1,6",44190,saint-sebastien-sur-loire
Logements vacants,326,"2,8",513,"4,0",571,"3,9",44190,saint-sebastien-sur-loire
,,,,,,,44190,saint-sebastien-sur-loire
Maisons,7 345,"64,1",7 656,"59,4",7 766,"53,3",44190,saint-sebastien-sur-loire
Appartements,4 103,"35,8",5 211,"40,4",6 750,"46,3",44190,saint-sebastien-sur-loire
Ensemble,9 092,"100,0",10 230,"100,0",11 963,"100,0",44215,vertou
Résidences principales,8 641,"95,0",9 651,"94,3",11 303,"94,5",44215,vertou
Résidences secondaires et logements occasionnels,150,"1,6",102,"1,0",177,"1,5",44215,vertou
Logements vacants,302,"3,3",477,"4,7",483,"4,0",44215,vertou
,,,,,,,44215,vertou
Maisons,7 890,"86,8",8 318,"81,3",9 007,"75,3",44215,vertou
Appartements,1 158,"12,7",1 906,"18,6",2 915,"24,4",44215,vertou
Ensemble,9 353,"100,0",9 759,"100,0",10 087,"100,0",45147,fleury-les-aubrais
Résidences principales,8 753,"93,6",9 138,"93,6",9 395,"93,1",45147,fleury-les-aubrais
Résidences secondaires et logements occasionnels,77,"0,8",93,"1,0",120,"1,2",45147,fleury-les-aubrais
Logements vacants,523,"5,6",528,"5,4",573,"5,7",45147,fleury-les-aubrais
,,,,,,,45147,fleury-les-aubrais
Maisons,4 877,"52,1",4 999,"51,2",4 986,"49,4",45147,fleury-les-aubrais
Appartements,4 462,"47,7",4 662,"47,8",5 034,"49,9",45147,fleury-les-aubrais
Ensemble,10 038,"100,0",11 111,"100,0",11 970,"100,0",45232,olivet
Résidences principales,9 298,"92,6",10 280,"92,5",11 213,"93,7",45232,olivet
Résidences secondaires et logements occasionnels,126,"1,3",176,"1,6",181,"1,5",45232,olivet
Logements vacants,615,"6,1",656,"5,9",577,"4,8",45232,olivet
,,,,,,,45232,olivet
Maisons,5 557,"55,4",6 025,"54,2",6 410,"53,6",45232,olivet
Appartements,4 341,"43,2",4 940,"44,5",5 459,"45,6",45232,olivet
Ensemble,61 967,"100,0",64 702,"100,0",67 376,"100,0",45234,orleans
Résidences principales,55 022,"88,8",56 298,"87,0",58 306,"86,5",45234,orleans
Résidences secondaires et logements occasionnels,1 182,"1,9",1 645,"2,5",2 376,"3,5",45234,orleans
Logements vacants,5 763,"9,3",6 760,"10,4",6 694,"9,9",45234,orleans
,,,,,,,45234,orleans
Maisons,14 331,"23,1",14 551,"22,5",15 134,"22,5",45234,orleans
Appartements,47 064,"76,0",49 445,"76,4",51 493,"76,4",45234,orleans
Ensemble,8 829,"100,0",9 370,"100,0",10 214,"100,0",45284,saint-jean-de-braye
Résidences principales,8 250,"93,4",8 681,"92,6",9 470,"92,7",45284,saint-jean-de-braye
Résidences secondaires et logements occasionnels,97,"1,1",104,"1,1",134,"1,3",45284,saint-jean-de-braye
Logements vacants,482,"5,5",586,"6,2",611,"6,0",45284,saint-jean-de-braye
,,,,,,,45284,saint-jean-de-braye
Maisons,4 273,"48,4",4 559,"48,7",4 812,"47,1",45284,saint-jean-de-braye
Appartements,4 543,"51,5",4 784,"51,1",5 299,"51,9",45284,saint-jean-de-braye
Ensemble,12 327,"100,0",12 576,"100,0",13 178,"100,0",46042,cahors
Résidences principales,10 202,"82,8",10 109,"80,4",10 985,"83,4",46042,cahors
Résidences secondaires et logements occasionnels,548,"4,4",600,"4,8",514,"3,9",46042,cahors
Logements vacants,1 578,"12,8",1 867,"14,8",1 679,"12,7",46042,cahors
,,,,,,,46042,cahors
Maisons,5 708,"46,3",5 701,"45,3",6 070,"46,1",46042,cahors
Appartements,6 518,"52,9",6 777,"53,9",6 974,"52,9",46042,cahors
Ensemble,21 212,"100,0",21 629,"100,0",21 916,"100,0",47001,agen
Résidences principales,17 653,"83,2",17 867,"82,6",17 466,"79,7",47001,agen
Résidences secondaires et logements occasionnels,349,"1,6",623,"2,9",1 208,"5,5",47001,agen
Logements vacants,3 210,"15,1",3 139,"14,5",3 241,"14,8",47001,agen
,,,,,,,47001,agen
Maisons,6 543,"30,8",6 431,"29,7",6 377,"29,1",47001,agen
Appartements,14 268,"67,3",15 078,"69,7",15 303,"69,8",47001,agen
Ensemble,13 013,"100,0",13 086,"100,0",13 163,"100,0",47323,villeneuve-sur-lot
Résidences principales,11 285,"86,7",11 127,"85,0",11 012,"83,7",47323,villeneuve-sur-lot
Résidences secondaires et logements occasionnels,223,"1,7",275,"2,1",274,"2,1",47323,villeneuve-sur-lot
Logements vacants,1 505,"11,6",1 684,"12,9",1 878,"14,3",47323,villeneuve-sur-lot
,,,,,,,47323,villeneuve-sur-lot
Maisons,9 329,"71,7",9 332,"71,3",9 281,"70,5",47323,villeneuve-sur-lot
Appartements,3 655,"28,1",3 689,"28,2",3 854,"29,3",47323,villeneuve-sur-lot
Ensemble,82 176,"100,0",87 278,"100,0",91 790,"100,0",49007,angers
Résidences principales,75 304,"91,6",78 732,"90,2",83 463,"90,9",49007,angers
Résidences secondaires et logements occasionnels,1 246,"1,5",1 901,"2,2",2 757,"3,0",49007,angers
Logements vacants,5 626,"6,8",6 645,"7,6",5 570,"6,1",49007,angers
,,,,,,,49007,angers
Maisons,19 345,"23,5",19 425,"22,3",19 946,"21,7",49007,angers
Appartements,61 739,"75,1",66 618,"76,3",70 529,"76,8",49007,angers
Ensemble,9 295,"100,0",9 911,"100,0",10 309,"100,0",49023,beaupreau-en-mauges
Résidences principales,8 642,"93,0",9 106,"91,9",9 607,"93,2",49023,beaupreau-en-mauges
Résidences secondaires et logements occasionnels,94,"1,0",106,"1,1",133,"1,3",49023,beaupreau-en-mauges
Logements vacants,558,"6,0",699,"7,1",570,"5,5",49023,beaupreau-en-mauges
,,,,,,,49023,beaupreau-en-mauges
Maisons,8 452,"90,9",9 024,"91,1",9 456,"91,7",49023,beaupreau-en-mauges
Appartements,749,"8,1",786,"7,9",765,"7,4",49023,beaupreau-en-mauges
Ensemble,8 558,"100,0",9 049,"100,0",9 446,"100,0",49092,chemille-en-anjou
Résidences principales,7 927,"92,6",8 278,"91,5",8 596,"91,0",49092,chemille-en-anjou
Résidences secondaires et logements occasionnels,123,"1,4",131,"1,4",163,"1,7",49092,chemille-en-anjou
Logements vacants,508,"5,9",640,"7,1",687,"7,3",49092,chemille-en-anjou
,,,,,,,49092,chemille-en-anjou
Maisons,7 783,"90,9",8 291,"91,6",8 565,"90,7",49092,chemille-en-anjou
Appartements,749,"8,8",736,"8,1",854,"9,0",49092,chemille-en-anjou
Ensemble,26 408,"100,0",27 234,"100,0",27 799,"100,0",49099,cholet
Résidences principales,24 604,"93,2",25 135,"92,3",25 929,"93,3",49099,cholet
Résidences secondaires et logements occasionnels,220,"0,8",340,"1,2",518,"1,9",49099,cholet
Logements vacants,1 585,"6,0",1 759,"6,5",1 353,"4,9",49099,cholet
,,,,,,,49099,cholet
Maisons,15 783,"59,8",16 300,"59,9",16 463,"59,2",49099,cholet
Appartements,10 385,"39,3",10 654,"39,1",10 840,"39,0",49099,cholet
Ensemble,9 785,"100,0",10 618,"100,0",10 948,"100,0",49301,sevremoine
Résidences principales,9 214,"94,2",9 897,"93,2",10 314,"94,2",49301,sevremoine
Résidences secondaires et logements occasionnels,118,"1,2",106,"1,0",89,"0,8",49301,sevremoine
Logements vacants,453,"4,6",615,"5,8",546,"5,0",49301,sevremoine
,,,,,,,49301,sevremoine
Maisons,9 278,"94,8",10 054,"94,7",10 360,"94,6",49301,sevremoine
Appartements,411,"4,2",435,"4,1",511,"4,7",49301,sevremoine
Ensemble,15 313,"100,0",15 928,"100,0",15 961,"100,0",49328,saumur
Résidences principales,12 995,"84,9",13 436,"84,4",13 259,"83,1",49328,saumur
Résidences secondaires et logements occasionnels,646,"4,2",638,"4,0",982,"6,2",49328,saumur
Logements vacants,1 672,"10,9",1 854,"11,6",1 720,"10,8",49328,saumur
,,,,,,,49328,saumur
Maisons,7 483,"48,9",7 640,"48,0",8 080,"50,6",49328,saumur
Appartements,7 664,"50,1",8 097,"50,8",7 783,"48,8",49328,saumur
Ensemble,41 694,"100,0",42 964,"100,0",43 600,"100,0",50129,cherbourg-en-cotentin
Résidences principales,38 034,"91,2",38 347,"89,3",39 179,"89,9",50129,cherbourg-en-cotentin
Résidences secondaires et logements occasionnels,968,"2,3",1 137,"2,6",1 628,"3,7",50129,cherbourg-en-cotentin
Logements vacants,2 692,"6,5",3 480,"8,1",2 793,"6,4",50129,cherbourg-en-cotentin
,,,,,,,50129,cherbourg-en-cotentin
Maisons,21 013,"50,4",21 557,"50,2",21 726,"49,8",50129,cherbourg-en-cotentin
Appartements,20 421,"49,0",21 244,"49,4",21 348,"49,0",50129,cherbourg-en-cotentin
Ensemble,23 006,"100,0",23 755,"100,0",24 070,"100,0",51108,chalons-en-champagne
Résidences principales,20 957,"91,1",21 485,"90,4",21 783,"90,5",51108,chalons-en-champagne
Résidences secondaires et logements occasionnels,252,"1,1",320,"1,3",486,"2,0",51108,chalons-en-champagne
Logements vacants,1 797,"7,8",1 951,"8,2",1 802,"7,5",51108,chalons-en-champagne
,,,,,,,51108,chalons-en-champagne
Maisons,7 300,"31,7",7 630,"32,1",7 464,"31,0",51108,chalons-en-champagne
Appartements,15 382,"66,9",15 741,"66,3",16 320,"67,8",51108,chalons-en-champagne
Ensemble,12 623,"100,0",12 928,"100,0",13 435,"100,0",51230,epernay
Résidences principales,11 174,"88,5",11 468,"88,7",11 323,"84,3",51230,epernay
Résidences secondaires et logements occasionnels,257,"2,0",269,"2,1",669,"5,0",51230,epernay
Logements vacants,1 191,"9,4",1 191,"9,2",1 443,"10,7",51230,epernay
,,,,,,,51230,epernay
Maisons,4 650,"36,8",4 636,"35,9",4 536,"33,8",51230,epernay
Appartements,7 812,"61,9",8 092,"62,6",8 687,"64,7",51230,epernay
Ensemble,96 120,"100,0",101 998,"100,0",106 390,"100,0",51454,reims
Résidences principales,88 179,"91,7",92 169,"90,4",92 474,"86,9",51454,reims
Résidences secondaires et logements occasionnels,1 106,"1,2",1 741,"1,7",3 843,"3,6",51454,reims
Logements vacants,6 834,"7,1",8 088,"7,9",10 073,"9,5",51454,reims
,,,,,,,51454,reims
Maisons,19 990,"20,8",20 629,"20,2",19 979,"18,8",51454,reims
Appartements,74 835,"77,9",79 738,"78,2",84 328,"79,3",51454,reims
Ensemble,12 957,"100,0",12 754,"100,0",12 848,"100,0",52121,chaumont
Résidences principales,11 366,"87,7",11 278,"88,4",11 426,"88,9",52121,chaumont
Résidences secondaires et logements occasionnels,221,"1,7",323,"2,5",354,"2,8",52121,chaumont
Logements vacants,1 370,"10,6",1 154,"9,0",1 067,"8,3",52121,chaumont
,,,,,,,52121,chaumont
Maisons,5 511,"42,5",5 430,"42,6",5 419,"42,2",52121,chaumont
Appartements,7 268,"56,1",7 287,"57,1",7 318,"57,0",52121,chaumont
Ensemble,13 441,"100,0",13 463,"100,0",13 316,"100,0",52448,saint-dizier
Résidences principales,11 794,"87,7",11 575,"86,0",11 244,"84,4",52448,saint-dizier
Résidences secondaires et logements occasionnels,136,"1,0",202,"1,5",277,"2,1",52448,saint-dizier
Logements vacants,1 511,"11,2",1 686,"12,5",1 794,"13,5",52448,saint-dizier
,,,,,,,52448,saint-dizier
Maisons,5 647,"42,0",5 774,"42,9",5 686,"42,7",52448,saint-dizier
Appartements,7 657,"57,0",7 384,"54,8",7 457,"56,0",52448,saint-dizier
Ensemble,27 770,"100,0",28 287,"100,0",29 160,"100,0",53130,laval
Résidences principales,25 369,"91,4",25 286,"89,4",25 880,"88,8",53130,laval
Résidences secondaires et logements occasionnels,333,"1,2",653,"2,3",830,"2,8",53130,laval
Logements vacants,2 069,"7,4",2 348,"8,3",2 450,"8,4",53130,laval
,,,,,,,53130,laval
Maisons,10 793,"38,9",11 035,"39,0",11 269,"38,6",53130,laval
Appartements,16 785,"60,4",16 968,"60,0",17 653,"60,5",53130,laval
Ensemble,66 329,"100,0",68 352,"100,0",71 856,"100,0",54395,nancy
Résidences principales,57 810,"87,2",58 639,"85,8",59 974,"83,5",54395,nancy
Résidences secondaires et logements occasionnels,1 021,"1,5",1 815,"2,7",3 509,"4,9",54395,nancy
Logements vacants,7 499,"11,3",7 898,"11,6",8 373,"11,7",54395,nancy
,,,,,,,54395,nancy
Maisons,7 093,"10,7",7 015,"10,3",6 982,"9,7",54395,nancy
Appartements,58 349,"88,0",60 818,"89,0",63 764,"88,7",54395,nancy
Ensemble,16 117,"100,0",16 747,"100,0",17 244,"100,0",54547,vandoeuvre-les-nancy
Résidences principales,14 748,"91,5",15 076,"90,0",15 455,"89,6",54547,vandoeuvre-les-nancy
Résidences secondaires et logements occasionnels,251,"1,6",199,"1,2",274,"1,6",54547,vandoeuvre-les-nancy
Logements vacants,1 117,"6,9",1 471,"8,8",1 515,"8,8",54547,vandoeuvre-les-nancy
,,,,,,,54547,vandoeuvre-les-nancy
Maisons,2 979,"18,5",2 818,"16,8",2 895,"16,8",54547,vandoeuvre-les-nancy
Appartements,12 844,"79,7",13 549,"80,9",14 076,"81,6",54547,vandoeuvre-les-nancy
Ensemble,10 603,"100,0",11 077,"100,0",11 724,"100,0",56098,lanester
Résidences principales,9 878,"93,2",10 176,"91,9",10 814,"92,2",56098,lanester
Résidences secondaires et logements occasionnels,102,"1,0",109,"1,0",172,"1,5",56098,lanester
Logements vacants,624,"5,9",792,"7,2",739,"6,3",56098,lanester
,,,,,,,56098,lanester
Maisons,6 202,"58,5",6 455,"58,3",6 643,"56,7",56098,lanester
Appartements,4 370,"41,2",4 454,"40,2",5 051,"43,1",56098,lanester
Ensemble,34 405,"100,0",35 689,"100,0",36 657,"100,0",56121,lorient
Résidences principales,30 995,"90,1",31 635,"88,6",32 458,"88,5",56121,lorient
Résidences secondaires et logements occasionnels,906,"2,6",953,"2,7",1 269,"3,5",56121,lorient
Logements vacants,2 504,"7,3",3 102,"8,7",2 930,"8,0",56121,lorient
,,,,,,,56121,lorient
Maisons,8 967,"26,1",9 191,"25,8",9 128,"24,9",56121,lorient
Appartements,25 077,"72,9",26 070,"73,0",27 036,"73,8",56121,lorient
Ensemble,31 151,"100,0",33 037,"100,0",35 375,"100,0",56260,vannes
Résidences principales,27 410,"88,0",27 987,"84,7",29 688,"83,9",56260,vannes
Résidences secondaires et logements occasionnels,1 386,"4,5",1 868,"5,7",2 619,"7,4",56260,vannes
Logements vacants,2 355,"7,6",3 182,"9,6",3 069,"8,7",56260,vannes
,,,,,,,56260,vannes
Maisons,9 517,"30,6",10 047,"30,4",10 542,"29,8",56260,vannes
Appartements,21 355,"68,6",22 880,"69,3",24 588,"69,5",56260,vannes
Ensemble,10 517,"100,0",10 743,"100,0",11 002,"100,0",57227,forbach
Résidences principales,9 449,"89,9",9 380,"87,3",9 124,"82,9",57227,forbach
Résidences secondaires et logements occasionnels,16,"0,2",64,"0,6",95,"0,9",57227,forbach
Logements vacants,1 051,"10,0",1 299,"12,1",1 782,"16,2",57227,forbach
,,,,,,,57227,forbach
Maisons,3 191,"30,3",3 252,"30,3",3 397,"30,9",57227,forbach
Appartements,7 149,"68,0",7 441,"69,3",7 422,"67,5",57227,forbach
Ensemble,64 347,"100,0",66 072,"100,0",70 903,"100,0",57463,metz
Résidences principales,57 002,"88,6",56 438,"85,4",61 061,"86,1",57463,metz
Résidences secondaires et logements occasionnels,631,"1,0",1 049,"1,6",1 863,"2,6",57463,metz
Logements vacants,6 715,"10,4",8 585,"13,0",7 979,"11,3",57463,metz
,,,,,,,57463,metz
Maisons,8 887,"13,8",8 822,"13,4",9 077,"12,8",57463,metz
Appartements,54 469,"84,6",56 067,"84,9",60 466,"85,3",57463,metz
Ensemble,11 826,"100,0",11 902,"100,0",12 188,"100,0",57480,montigny-les-metz
Résidences principales,10 868,"91,9",10 870,"91,3",11 106,"91,1",57480,montigny-les-metz
Résidences secondaires et logements occasionnels,58,"0,5",101,"0,8",133,"1,1",57480,montigny-les-metz
Logements vacants,900,"7,6",931,"7,8",949,"7,8",57480,montigny-les-metz
,,,,,,,57480,montigny-les-metz
Maisons,2 539,"21,5",2 496,"21,0",2 505,"20,6",57480,montigny-les-metz
Appartements,9 188,"77,7",9 364,"78,7",9 611,"78,9",57480,montigny-les-metz
Ensemble,11 293,"100,0",11 625,"100,0",11 989,"100,0",57631,sarreguemines
Résidences principales,10 013,"88,7",10 150,"87,3",10 205,"85,1",57631,sarreguemines
Résidences secondaires et logements occasionnels,136,"1,2",110,"0,9",184,"1,5",57631,sarreguemines
Logements vacants,1 144,"10,1",1 366,"11,7",1 599,"13,3",57631,sarreguemines
,,,,,,,57631,sarreguemines
Maisons,4 133,"36,6",4 163,"35,8",4 225,"35,2",57631,sarreguemines
Appartements,7 049,"62,4",7 242,"62,3",7 610,"63,5",57631,sarreguemines
Ensemble,20 728,"100,0",21 275,"100,0",23 354,"100,0",57672,thionville
Résidences principales,19 132,"92,3",19 062,"89,6",20 899,"89,5",57672,thionville
Résidences secondaires et logements occasionnels,89,"0,4",186,"0,9",428,"1,8",57672,thionville
